	C0	CO2minus	Cofactor (VdW)	Cofactor (elec)	Cofactor (hbond)	Csp2	Csp3	DOF	E-Inter (cofactor - ligand)	E-Inter (protein - ligand)	E-Inter (water - ligand)	E-Inter total	E-Intra (clash)	E-Intra (elec)	E-Intra (hbond)	E-Intra (sp2-sp2)	E-Intra (steric)	E-Intra (tors)	E-Intra (tors, ligand atoms)	E-Intra (vdw)	E-Soft Constraint Penalty	E-Solvation	E-Total	Electro	ElectroLong	Energy	Filename	HBond	HeavyAtoms	LE1	LE3	Ligand	MW	N	Name	NoHBond90	Nplus	OH	OPO32minus	OS	PoseEnergy	RMSD	RerankScore	Run	SimilarityScore	Steric	Torsions	VdW (LJ12-6)	carbonyl	halogen	SMILES
0	1	0	0	0	0	9	4	0	0	-102.25399999999999	0	-102.25399999999999	0	0.0	0.0	0.0	17.1876	0.0	17.1876	61.4587	0	0	-85.0664	0.0	0.0	-85.0664	[00]BindingDB_Reactant_set_id_189668_.mvdml	-4.28	15	-5.67109	-4.72912	BindingDB_Reactant_set_id_189668_	198.264	2	[00]BindingDB_Reactant_set_id_189668_	-5.0	0	0	0	0	-85.0266	0	-70.9368	0	0	-97.97399999999999	0	-22.2062	0	0	NC1=C2CCCCC2=NC=3C1=CC=CC=3
3	1	0	0	0	0	14	9	9	0	-180.878	0	-180.878	0	0.0	-3.84993	3.00399	-19.6198	7.867210000000001	-15.6025	81.9809	0	0	-196.481	0.0	0.0	-196.481	[00]BindingDB_Reactant_set_id_189665_.mvdml	-4.04981	31	-6.33809	-3.95263	BindingDB_Reactant_set_id_189665_	418.535	6	[00]BindingDB_Reactant_set_id_189665_	-11.7467	0	0	0	0	-202.27700000000002	0	-122.531	0	0	-176.829	9	-28.7617	1	0	O=C(C1=CN=C(NN)C=C1)NCCCCCNC2=C3CCCCC3=NC4=CC=CC=C42
6	1	0	0	0	0	15	13	13	0	-198.64	0	-198.64	0	0.0	0.0	2.56535	-6.47192	16.6395	10.1676	95.4072	0	0	-188.472	0.0	0.0	-188.472	[00]BindingDB_Reactant_set_id_189667_.mvdml	-3.18824	35	-5.38491	-2.23048	BindingDB_Reactant_set_id_189667_	473.653	5	[00]BindingDB_Reactant_set_id_189667_	-10.0784	0	0	0	0	-192.859	0	-78.0669	0	0	-195.451	13	54.6899	1	0	O=C(C1=CC=C(NN)C=C1)NCCCCCCCCCNC2=C3CCCCC3=NC4=CC=CC=C42
9	1	0	0	0	0	14	8	8	0	-169.882	0	-169.882	0	0.0	-2.04427	5.24075	-6.1573400000000005	11.9407	3.7391300000000003	90.4525	0	0	-166.143	0.0	0.0	-166.143	[00]BindingDB_Reactant_set_id_189664_.mvdml	-3.0966400000000003	30	-5.53809	-4.0288699999999995	BindingDB_Reactant_set_id_189664_	404.50800000000004	6	[00]BindingDB_Reactant_set_id_189664_	-17.6171	0	0	0	0	-178.215	0	-120.866	0	0	-166.785	8	-56.3723	1	0	O=C(C1=CN=C(NN)C=C1)NCCCCNC2=C3CCCCC3=NC4=CC=CC=C42
12	1	0	0	0	0	14	11	11	0	-187.225	0	-187.225	0	0.0	-2.5	1.86008	12.3368	7.111210000000001	16.948	117.443	0	0	-170.27700000000002	0.0	0.0	-170.27700000000002	[00]BindingDB_Reactant_set_id_189666_.mvdml	-1.3030000000000002	33	-5.1599	-3.53226	BindingDB_Reactant_set_id_189666_	446.588	6	[00]BindingDB_Reactant_set_id_189666_	-17.386	0	0	0	0	-184.46900000000002	0	-116.564	0	0	-185.922	11	-26.8101	1	0	O=C(C1=CN=C(NN)C=C1)NCCCCCCCNC2=C3CCCCC3=NC4=CC=CC=C42
15	1	0	0	0	0	12	11	6	0	-163.655	0	-163.655	0	0.0	0.0	0.0	10.9548	5.692130000000001	16.647000000000002	72.8515	0	0	-147.00799999999998	0.0	0.0	-147.00799999999998	[00]BindingDB_Reactant_set_id_51265851_.mvdml	0.0	28	-5.25028	-4.42689	BindingDB_Reactant_set_id_51265851_	379.49199999999996	1	[00]BindingDB_Reactant_set_id_51265851_	-3.4542599999999997	0	0	0	2	-148.236	0	-123.95299999999999	0	0	-163.655	6	-54.4755	1	0	O=C1C=2C=C(OC)C(OC)=CC=2CC1CC(CC3)CCN3CC=4C=CC=CC=4
18	1	0	0	0	0	6	8	3	0	-120.74600000000001	0	-120.74600000000001	0	0.0	0.0	0.5703199999999999	-0.16405699999999998	1.87451	1.71045	32.495	0	0	-119.036	0.0	0.0	-119.036	[00]BindingDB_Reactant_set_id_51189013_.mvdml	-3.3985	20	-5.95178	-4.68079	BindingDB_Reactant_set_id_51189013_	275.346	3	[00]BindingDB_Reactant_set_id_51189013_	-7.21714	0	0	0	1	-121.756	0	-93.6159	0	0	-117.348	3	-31.9571	1	0	O=C(NC)OC=1C=C2C3(C)CCN(C)C3N(C)C2=CC=1
21	1	0	0	0	0	11	6	0	0	-123.40299999999999	0	-123.40299999999999	0	0.0	0.0	0.0	18.0156	0.0	18.0156	85.7729	0	0	-105.38799999999999	0.0	0.0	-105.38799999999999	[00]BindingDB_Reactant_set_id_358398_.mvdml	0.0	20	-5.26938	-4.27529	BindingDB_Reactant_set_id_358398_	284.783	2	[00]BindingDB_Reactant_set_id_358398_	0.0	0	0	0	0	-103.179	0	-85.5058	0	0	-123.40299999999999	0	-29.7795	0	1	ClC(=C1)C=CC=2C1=NC=3CC(C4)C=C(C)CC4C=3C=2N
24	1	0	0	0	0	11	6	0	0	-127.346	0	-127.346	0	0.0	0.0	0.0	18.0399	0.0	18.0399	85.9016	0	0	-109.306	0.0	0.0	-109.306	[00]BindingDB_Reactant_set_id_358397_.mvdml	-4.56694	20	-5.465319999999999	-4.3872800000000005	BindingDB_Reactant_set_id_358397_	284.783	2	[00]BindingDB_Reactant_set_id_358397_	-5.21466	0	0	0	0	-108.189	0	-87.7455	0	0	-122.779	0	-28.04	0	1	ClC=1C=CC2=C(N)C=3C(C4)CC(C)=CC4CC=3N=C2C=1
27	1	0	0	0	0	21	1	5	0	-182.643	0	-182.643	0	0.0	0.0	11.9023	24.7595	12.0904	36.8499	106.28299999999999	0	0	-145.793	0.0	0.0	-145.793	[00]BindingDB_Reactant_set_id_50981881_.mvdml	0.0	30	-4.85976	-3.93341	BindingDB_Reactant_set_id_50981881_	465.291	1	[00]BindingDB_Reactant_set_id_50981881_	-2.5	0	0	0	1	-146.464	0	-118.00200000000001	0	0	-182.643	5	-57.5081	2	2	BrC(=CC=1)C=C(C=2)C=1OC(=O)C=2C(=O)C=CC(=CC=3)C=C[N]=3CC4=CC=CC=C4F
