	BindingDB_Reactant_set_id	Name	Ligand_SMILES	IC50 (nM)	pIC50
0	189668	tacrine	Nc1c2CCCCc2nc2ccccc12	5.46e-06	14.262807357295262
1	51223275	 	CCC(=O)N1CCCC2(O)C1N(C)c1ccccc21	1e-05	14.0
2	51223289	 	CN1C2N(CCCC2(O)c2ccccc12)C(=O)c1ccc(F)cc1	0.0001	13.0
3	189665	BindingDB_86769_mol_1	NNc1ccc(cn1)C(=O)NCCCCCNc1c2CCCCc2nc2ccccc12	0.000308	12.511449283499555
4	189667	BindingDB_86771_mol_1	NNc1ccc(cc1)C(=O)NCCCCCCCCCNc1c2CCCCc2nc2ccccc12	0.00037	12.431798275933005
5	189664	BindingDB_86768_mol_1	NNc1ccc(cn1)C(=O)NCCCCNc1c2CCCCc2nc2ccccc12	0.00044	12.356547323513812
6	189666	BindingDB_86770_mol_1	NNc1ccc(cn1)C(=O)NCCCCCCCNc1c2CCCCc2nc2ccccc12	0.000721	12.14206473528057
7	51223295	 	Cc1cccc(CN2C3N(CCC3(Cc3cccc(C)c3)c3ccccc23)C(=O)CCc2ccccc2)c1	0.002	11.698970004336019
8	51265851	Donepezil	COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC	0.03	10.522878745280337
9	51189013	BindingDB_50004000_mol_1	CNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1	0.034	10.468521082957745
10	51223270	 	CCCCC(=O)N1CCC2(Cc3cccc(C)c3)C1N(Cc1cccc(C)c1)c1ccccc21	0.06	10.221848749616356
11	358398	BindingDB_50379273_mol_1	CC1=C[C@H]2C[C@@H](C1)c1c(C2)nc2cc(Cl)ccc2c1N	0.06	10.221848749616356
12	358397	Huprine	CC1=CC2CC(C1)c1c(C2)nc2cc(Cl)ccc2c1N	0.08	10.096910013008056
13	51223298	 	CN1C2N(CCCC2(O)c2ccccc12)C(=O)c1ccccc1	0.08	10.096910013008056
14	51223266	 	Cc1ccc(cc1)S(=O)(=O)N1CCC2(Cc3ccccc3C)C1N(Cc1ccccc1C)c1ccccc21	0.11	9.958607314841775
15	51223279	 	CN1C2N(CCCC2(O)c2ccccc12)C(=O)c1cccc(F)c1	0.11	9.958607314841775
16	50981881	BindingDB_50402577_mol_1	Fc1ccccc1C[n+]1ccc(\C=C\C(=O)c2cc3cc(Br)ccc3oc2=O)cc1	0.11	9.958607314841775
17	51223278	 	CCCCCCCC(=O)N1CCCC2(O)C1N(C)c1ccccc21	0.12	9.920818753952375
18	51223291	 	Cc1ccccc1CN1C2N(CCC2(Cc2ccccc2C)c2ccccc12)S(=O)(=O)c1ccccc1	0.14	9.853871964321762
19	51223296	 	CC(C)C(=O)N1CCCC2(O)C1N(C)c1ccccc21	0.14	9.853871964321762
20	50981887	BindingDB_50402583_mol_1	COc1cccc2cc(C(=O)\C=C\c3cc[n+](Cc4ccccc4C)cc3)c(=O)oc12	0.16	9.795880017344075
21	51085802	Tacrine	C(CCCNc1c2CCCCc2nc2ccccc12)CCCNc1c2CCCCc2nc2ccccc12	0.17	9.769551078621726
22	51066377	BindingDB_50435279_mol_1	Cc1cccc(Nc2ccccc2C(=O)NCCCCCC(=O)NCCCCNc2c3CCCCc3nc3cc(Cl)ccc23)c1C	0.299	9.52432881167557
23	51223285	 	CN1C2N(CCCC2(O)c2ccccc12)C(C)=O	0.3	9.522878745280337
24	51083989	BindingDB_50443517_mol_1	[O-][N+](=O)c1ccc2oc(=O)c(cc2c1)C(=O)NCCC1CCN(Cc2ccccc2)CC1	0.3	9.522878745280337
25	51223297	 	CN1C2N(CCCC2(O)c2ccccc12)C(=O)c1ccccc1F	0.32	9.494850021680094
26	51297229	BindingDB_50291665_mol_1	[Br-].COc1cc2CC(Cc3cc[n+](Cc4ccccc4)cc3Br)C(=O)c2cc1OC	0.36	9.443697499232712
27	51223267	 	CCC(=O)N1CCC2(Cc3cccc(C)c3)C1N(Cc1cccc(C)c1)c1ccccc21	0.39	9.4089353929735
