No.	NAME	MW	AMW	Sp	Mv	Mp	Mi	GD	nTA	nBM	RBN	RBF	nDB	nTB	nN	nO	nS	nCL	nBR	nI	nHM	nHet	nX	C%	N%	O%	X%	nCsp3	nCsp2	nCsp	Fsp3	max_conj_path	nStructures	totalcharge
1	50262810	294.38	7.3595	27.0116	0.6422	0.6753	1.1184	0.1039	3	14	5	0.119	2	0	2	2	0	0	0	0	0	4	0	45	5	5	0	4	14	0	0.2222	10	1	0
2	50262811	338.44	7.2009	30.9889	0.6267	0.6593	1.1229	0.09	4	14	7	0.1429	2	0	2	3	0	0	0	0	0	5	0	42.5532	4.2553	6.383	0	6	14	0	0.3	10	1	0
3	50193452	322.44	7.0096	30.5344	0.6248	0.6638	1.121	0.0942	3	14	7	0.1458	2	0	2	2	0	0	0	0	0	4	0	43.4783	4.3478	4.3478	0	6	14	0	0.3	10	1	0
4	50262853	343.52	6.3615	33.8243	0.5804	0.6264	1.1354	0.09	4	8	7	0.125	2	0	3	2	0	0	0	0	0	5	0	37.037	5.5556	3.7037	0	12	8	0	0.6	10	1	0
5	50262850	376.49	7.2402	34.7503	0.6343	0.6683	1.1191	0.0794	4	15	9	0.1667	2	1	2	3	0	0	0	0	0	5	0	44.2308	3.8462	5.7692	0	7	14	2	0.3043	10	1	0
6	50262850	376.49	7.2402	34.7503	0.6343	0.6683	1.1191	0.0794	4	15	9	0.1667	2	1	2	3	0	0	0	0	0	5	0	44.2308	3.8462	5.7692	0	7	14	2	0.3043	10	1	0
7	50262813	308.41	7.1723	28.773	0.6329	0.6691	1.1198	0.0988	3	14	6	0.1333	2	0	2	2	0	0	0	0	0	4	0	44.186	4.6512	4.6512	0	5	14	0	0.2632	10	1	0
8	50262813	308.41	7.1723	28.773	0.6329	0.6691	1.1198	0.0988	3	14	6	0.1333	2	0	2	2	0	0	0	0	0	4	0	44.186	4.6512	4.6512	0	5	14	0	0.2632	10	1	0
9	50262786	394.56	6.6875	38.0345	0.6028	0.6447	1.1261	0.0764	4	14	11	0.1803	2	0	2	3	0	0	0	0	0	5	0	40.678	3.3898	5.0847	0	10	14	0	0.4167	10	1	0
10	50262848	366.5	6.9151	34.5117	0.6134	0.6512	1.1247	0.0826	4	14	9	0.1636	2	0	2	3	0	0	0	0	0	5	0	41.5094	3.7736	5.6604	0	8	14	0	0.3636	10	1	0
11	50262846	362.46	7.3971	32.9889	0.6419	0.6732	1.1179	0.0826	4	15	8	0.1569	2	1	2	3	0	0	0	0	0	5	0	44.898	4.0816	6.1224	0	6	14	2	0.2727	10	1	0
12	50262846	362.46	7.3971	32.9889	0.6419	0.6732	1.1179	0.0826	4	15	8	0.1569	2	1	2	3	0	0	0	0	0	5	0	44.898	4.0816	6.1224	0	6	14	2	0.2727	10	1	0
13	50262809	357.55	6.2728	35.5857	0.5766	0.6243	1.1356	0.0862	4	8	8	0.1356	2	0	3	2	0	0	0	0	0	5	0	36.8421	5.2632	3.5088	0	13	8	0	0.619	10	1	0
14	50262808	404.55	6.975	38.2731	0.6213	0.6599	1.1211	0.0736	4	15	11	0.1833	2	1	2	3	0	0	0	0	0	5	0	43.1034	3.4483	5.1724	0	9	14	2	0.36	10	1	0
15	50262786	394.56	6.6875	38.0345	0.6028	0.6447	1.1261	0.0764	4	14	11	0.1803	2	0	2	3	0	0	0	0	0	5	0	40.678	3.3898	5.0847	0	10	14	0	0.4167	10	1	0
16	50262853	343.52	6.3615	33.8243	0.5804	0.6264	1.1354	0.09	4	8	7	0.125	2	0	3	2	0	0	0	0	0	5	0	37.037	5.5556	3.7037	0	12	8	0	0.6	10	1	0
17	50362874	452.6	6.9631	41.7049	0.608	0.6416	1.1273	0.0682	5	14	8	0.1176	2	0	2	5	0	0	0	0	0	7	0	40	3.0769	7.6923	0	11	15	0	0.4231	10	1	0
18	50267493	618.79	7.1125	55.8754	0.6126	0.6422	1.1262	0.0485	7	21	17	0.1889	3	0	2	8	0	0	0	0	0	10	0	40.2299	2.2989	9.1954	0	13	22	0	0.3714	16	1	0
19	50267492	632.82	7.0313	57.6368	0.6092	0.6404	1.1266	0.0473	7	21	18	0.1935	3	0	2	8	0	0	0	0	0	10	0	40	2.2222	8.8889	0	14	22	0	0.3889	16	1	0
