No.	NAME	P_VSA_LogP_1	P_VSA_LogP_2	P_VSA_LogP_3	P_VSA_LogP_4	P_VSA_LogP_5	P_VSA_LogP_6	P_VSA_LogP_8	P_VSA_MR_1	P_VSA_MR_2	P_VSA_MR_3	P_VSA_MR_4	P_VSA_MR_5	P_VSA_MR_6	P_VSA_MR_7	P_VSA_MR_8	P_VSA_m_2	P_VSA_m_4	P_VSA_m_5	P_VSA_e_2	P_VSA_e_3	P_VSA_e_5	P_VSA_p_2	P_VSA_p_3	P_VSA_p_4	P_VSA_i_1	P_VSA_i_2	P_VSA_i_3	P_VSA_i_4	P_VSA_s_1	P_VSA_s_3	P_VSA_s_4	P_VSA_s_5	P_VSA_s_6	P_VSA_ppp_L	P_VSA_ppp_D	P_VSA_ppp_A	P_VSA_ppp_ar	P_VSA_ppp_con	P_VSA_ppp_hal	P_VSA_ppp_cyc	P_VSA_ppp_ter	P_VSA_charge_1	P_VSA_charge_2	P_VSA_charge_3	P_VSA_charge_4	P_VSA_charge_5	P_VSA_charge_6	P_VSA_charge_7	P_VSA_charge_8	P_VSA_charge_9	P_VSA_charge_10	P_VSA_charge_11	P_VSA_charge_12	P_VSA_charge_13	P_VSA_charge_14
1	50262810	8.3964	9.4414	85.2862	59.6992	12.681	0	0	211.8798	50.2899	0	0	12.5657	112.6486	0	0	125.2144	0	0	118.9657	6.2486	50.2899	56.5385	118.9657	0	0	118.9657	262.1697	6.2486	0	25.2831	99.9312	0	50.2899	94.843	0	56.5385	94.843	154.5421	0	107.3766	58.6862	0	56.5385	0	0	0	66.3337	30.5344	88.7148	135.8533	0	0	0	9.4093	0
2	50262811	19.7083	11.5471	75.81	59.6992	28.9244	0	0	223.6509	96.603	0	0	23.4966	110.9025	0	0	134.3991	0	0	128.1505	6.2486	61.2897	67.5384	128.1505	0	0	128.1505	320.254	6.2486	0	32.6323	101.7669	0	61.2897	94.1919	0	67.5384	90.6101	150.3093	0	103.1437	69.9981	10.9999	56.5385	0	0	0	56.2064	30.5344	115.4426	170.2785	5.2434	0	0	9.4093	0
3	50193452	8.3964	14.5105	85.2862	59.6992	12.681	0	0	211.8798	97.3743	0	0	17.6348	112.6486	0	0	130.2834	0	0	124.0348	6.2486	50.2899	56.5385	124.0348	0	0	124.0348	309.2541	6.2486	0	30.3522	99.9312	0	50.2899	99.912	0	56.5385	94.843	154.5421	0	107.3766	58.6862	3.1243	53.4142	0	0	0	66.3337	37.7092	157.2357	112.3111	0	0	0	9.4093	0
4	50262853	17.6504	23.3621	37.905	59.6992	12.6198	0	0	223.6509	168.0009	0	0	47.2612	53.6854	0	0	100.9466	0	0	91.5737	9.3729	50.2899	59.6628	91.5737	0	0	91.5737	391.6518	9.3729	0	36.0183	64.9283	0	50.2899	69.5301	0	59.6628	44.2761	103.9753	0	71.4812	67.9403	0	59.6628	0	0	0	21.487	43.7777	304.8061	53.4556	0	0	0	9.4093	0
5	50262850	10.8831	16.6162	75.81	59.6992	28.9244	52.1229	0	235.422	108.3741	0	0	19.7405	134.2237	17.0306	0	170.9948	0	0	164.7462	6.2486	61.2897	67.5384	164.7462	0	0	164.7462	343.7962	6.2486	0	37.7013	92.9417	17.0306	84.611	130.7876	0	67.5384	90.6101	150.3093	0	103.1437	84.4942	10.9999	56.5385	0	0	23.3212	64.4118	33.4978	127.2137	172.3842	17.0145	0	0	9.4093	0
6	50262850	10.8831	16.6162	75.81	59.6992	28.9244	52.1229	0	235.422	108.3741	0	0	19.7405	134.2237	17.0306	0	170.9948	0	0	164.7462	6.2486	61.2897	67.5384	164.7462	0	0	164.7462	343.7962	6.2486	0	37.7013	92.9417	17.0306	84.611	130.7876	0	67.5384	90.6101	150.3093	0	103.1437	84.4942	10.9999	56.5385	0	0	23.3212	64.4118	33.4978	127.2137	172.3842	17.0145	0	0	9.4093	0
7	50262813	8.3964	11.976	85.2862	59.6992	12.681	0	0	211.8798	73.8321	0	0	15.1003	112.6486	0	0	127.7489	0	0	121.5003	6.2486	50.2899	56.5385	121.5003	0	0	121.5003	285.7119	6.2486	0	27.8177	99.9312	0	50.2899	97.3775	0	56.5385	94.843	154.5421	0	107.3766	58.6862	3.1243	53.4142	0	0	0	66.3337	33.069	135.7992	112.3111	0	0	0	9.4093	0
8	50262813	8.3964	11.976	85.2862	59.6992	12.681	0	0	211.8798	73.8321	0	0	15.1003	112.6486	0	0	127.7489	0	0	121.5003	6.2486	50.2899	56.5385	121.5003	0	0	121.5003	285.7119	6.2486	0	27.8177	99.9312	0	50.2899	97.3775	0	56.5385	94.843	154.5421	0	107.3766	58.6862	3.1243	53.4142	0	0	0	66.3337	33.069	135.7992	112.3111	0	0	0	9.4093	0
9	50262786	19.7083	21.6853	75.81	59.6992	28.9244	0	0	270.7353	143.6875	0	0	33.6348	110.9025	0	0	144.5373	0	0	138.2886	6.2486	61.2897	67.5384	138.2886	0	0	138.2886	414.4228	6.2486	0	42.7704	101.7669	0	61.2897	104.33	0	67.5384	90.6101	150.3093	0	103.1437	69.9981	10.9999	56.5385	0	0	0	61.2755	37.7092	231.0479	146.7363	5.2434	0	0	9.4093	0
10	50262848	19.7083	16.6162	75.81	59.6992	28.9244	0	0	223.6509	143.6875	0	0	28.5657	110.9025	0	0	139.4682	0	0	133.2196	6.2486	61.2897	67.5384	133.2196	0	0	133.2196	367.3384	6.2486	0	37.7013	101.7669	0	61.2897	99.261	0	67.5384	90.6101	150.3093	0	103.1437	69.9981	10.9999	56.5385	0	0	0	56.2064	37.7092	183.9635	146.7363	5.2434	0	0	9.4093	0
11	50262846	10.8831	14.0817	75.81	59.6992	28.9244	52.1229	0	235.422	84.8319	0	0	17.206	134.2237	17.0306	0	168.4603	0	0	162.2117	6.2486	61.2897	67.5384	162.2117	0	0	162.2117	320.254	6.2486	0	35.1668	92.9417	17.0306	84.611	128.2531	0	67.5384	90.6101	150.3093	0	103.1437	84.4942	10.9999	56.5385	0	0	23.3212	64.4118	30.9633	103.6715	172.3842	17.0145	0	0	9.4093	0
12	50262846	10.8831	14.0817	75.81	59.6992	28.9244	52.1229	0	235.422	84.8319	0	0	17.206	134.2237	17.0306	0	168.4603	0	0	162.2117	6.2486	61.2897	67.5384	162.2117	0	0	162.2117	320.254	6.2486	0	35.1668	92.9417	17.0306	84.611	128.2531	0	67.5384	90.6101	150.3093	0	103.1437	84.4942	10.9999	56.5385	0	0	23.3212	64.4118	30.9633	103.6715	172.3842	17.0145	0	0	9.4093	0
13	50262809	17.6504	25.8967	37.905	59.6992	12.6198	0	0	247.1931	168.0009	0	0	49.7957	53.6854	0	0	103.4811	0	0	94.1082	9.3729	50.2899	59.6628	94.1082	0	0	94.1082	415.194	9.3729	0	38.5528	64.9283	0	50.2899	72.0647	0	59.6628	44.2761	103.9753	0	71.4812	67.9403	0	59.6628	0	0	0	24.0216	43.7777	328.3483	53.4556	0	0	0	9.4093	0
14	50262808	10.8831	21.6853	75.81	59.6992	28.9244	52.1229	0	282.5064	108.3741	0	0	24.8096	134.2237	17.0306	0	176.0639	0	0	169.8153	6.2486	61.2897	67.5384	169.8153	0	0	169.8153	390.8806	6.2486	0	42.7704	92.9417	17.0306	84.611	135.8567	0	67.5384	90.6101	150.3093	0	103.1437	84.4942	10.9999	56.5385	0	0	23.3212	69.4809	33.4978	174.2981	172.3842	17.0145	0	0	9.4093	0
