No.	NAME	Eta_alpha_A	Eta_epsi_A	Eta_betaS_A	Eta_beta_A	Eta_C_A	Eta_F	Eta_F_A	Eta_FL_A	Eta_B	Eta_B_A	Eta_sh_p	Eta_sh_y	Eta_sh_x	Eta_D_AlphaA	Eta_D_AlphaB	Eta_epsi_2	Eta_epsi_4	Eta_epsi_5	Eta_D_epsiB	Eta_D_epsiD	Eta_D_psiA	Eta_D_psiB	Eta_D_beta	Eta_D_beta_A
1	50262810	0.4758	0.5783	0.6364	1.3182	0.6828	20.5805	0.9355	0.2754	0.5073	0.0231	0.1115	0.3153	0	0	0.0242	0.8061	0.5141	0.8061	0.0642	0	0.1238	0	1	0.0455
2	50262811	0.472	0.5787	0.64	1.26	0.7906	23.7104	0.9484	0.2617	0.5206	0.0208	0.1412	0.322	0	0	0.028	0.824	0.522	0.824	0.0567	0	0.1412	0	-0.5	-0.02
3	50193452	0.4778	0.5594	0.625	1.25	0.7628	21.0478	0.877	0.2527	0.5073	0.0211	0.1017	0.2878	0	0	0.0222	0.7972	0.5057	0.7972	0.0537	0	0.1147	0	0	0
4	50262853	0.4747	0.5358	0.65	1.01	0.9985	16.8511	0.674	0.1856	0.5966	0.0239	0.1404	0.3118	0	0	0.0253	0.8093	0.5122	0.8093	0.0236	0	0.1275	0	-7.25	-0.29
5	50262850	0.475	0.575	0.625	1.25	0.8116	27.0561	0.9663	0.2586	0.5206	0.0186	0.1253	0.2857	0	0	0.025	0.8107	0.5103	0.8107	0.0647	0	0.1281	0	0	0
6	50262850	0.475	0.575	0.625	1.25	0.8116	27.0561	0.9663	0.2586	0.5206	0.0186	0.1253	0.2857	0	0	0.025	0.8107	0.5103	0.8107	0.0647	0	0.1281	0	0	0
7	50262813	0.4768	0.5682	0.6304	1.2826	0.7238	20.8174	0.9051	0.2637	0.5073	0.0221	0.1064	0.3009	0	0	0.0232	0.8014	0.5097	0.8014	0.0585	0	0.1191	0	0.5	0.0217
8	50262813	0.4768	0.5682	0.6304	1.2826	0.7238	20.8174	0.9051	0.2637	0.5073	0.0221	0.1064	0.3009	0	0	0.0232	0.8014	0.5097	0.8014	0.0585	0	0.1191	0	0.5	0.0217
9	50262786	0.4759	0.5492	0.6207	1.1552	0.9264	24.3896	0.841	0.2258	0.5206	0.018	0.1208	0.2754	0	0	0.0241	0.8069	0.507	0.8069	0.0421	0	0.1243	0	-2.5	-0.0862
10	50262848	0.4741	0.5623	0.6296	1.2037	0.8617	24.0396	0.8904	0.2425	0.5206	0.0193	0.1302	0.2969	0	0	0.0259	0.8148	0.5138	0.8148	0.0484	0	0.1322	0	-1.5	-0.0556
