No.	NAME	SpDiam_EA(ed)	SpMAD_EA(ed)	SpDiam_EA(bo)	SpMAD_EA(bo)	SpMaxA_EA(dm)	SpAD_EA(dm)	SpMAD_EA(dm)	SpMAD_EA(ri)	SpMaxA_AEA(ed)	SpMAD_AEA(ed)	SpMax_AEA(bo)	SpMAD_AEA(bo)	SpMax_AEA(dm)	SpMAD_AEA(dm)	SpMAD_AEA(ri)	Chi0_EA(dm)	SM06_EA	SM06_EA(bo)	SM11_EA(bo)	SM02_EA(dm)	SM03_EA(dm)	SM04_EA(dm)	SM10_AEA(ed)	SM04_AEA(bo)	SM08_AEA(bo)	SM10_AEA(bo)	SM13_AEA(bo)	SM14_AEA(bo)	SM15_AEA(bo)	SM11_AEA(dm)	SM12_AEA(dm)	SM13_AEA(dm)	SM12_AEA(ri)	SM13_AEA(ri)	SM15_AEA(ri)	Eig06_EA(bo)	Eig02_EA(dm)	Eig03_EA(dm)	Eig04_EA(dm)	Eig05_EA(dm)	Eig06_EA(dm)	Eig07_EA(dm)	Eig08_EA(dm)	Eig09_EA(dm)	Eig10_EA(dm)	Eig11_EA(dm)	Eig12_EA(dm)	Eig13_EA(dm)	Eig14_EA(dm)	Eig15_EA(dm)	Eig09_EA(ri)	Eig05_AEA(ed)	Eig06_AEA(ed)	Eig07_AEA(ed)	Eig09_AEA(ed)	Eig12_AEA(ed)	Eig02_AEA(bo)	Eig03_AEA(bo)	Eig04_AEA(bo)	Eig11_AEA(bo)	Eig02_AEA(dm)	Eig03_AEA(dm)	Eig04_AEA(dm)	Eig05_AEA(dm)	Eig06_AEA(dm)	Eig07_AEA(dm)	Eig09_AEA(dm)	Eig11_AEA(dm)	Eig15_AEA(dm)	Eig03_AEA(ri)	Eig04_AEA(ri)	Eig13_AEA(ri)
1	50262810	18.8267	4.2062	7.1457	1.9204	0.0562	6.4754	0.2698	1.4602	0.2902	1.5405	4.5857	1.5097	3.9525	1.5732	1.4827	14.7762	7.7111	9.1942	15.7364	1.9884	0.5698	2.1473	19.7056	7.1852	12.6786	2.6257	2.0264	1.4428	1.3683	7.4381	7.2226	6.4261	3.4548	2.8163	2.3461	1.9782	0.9164	0.8	0.1724	0	0	0	0	0	0	0	0	0	0	0	0.9338	4.8087	3.7093	3.618	3.3612	2.3434	3.9271	3.5496	3.4407	1.2854	3.2561	2.9441	2.4524	2.3408	1.8324	1.5013	1.2614	0.5994	-0.814	3.2331	3.0656	0.4632
2	50262811	18.8268	4.2096	7.1457	1.8636	0.05	8.1954	0.3035	1.4279	0.2579	1.5563	4.5857	1.4803	3.9525	1.5573	1.4651	19.1854	7.8637	9.3391	15.946	2.1728	0.5698	2.2676	19.8742	7.2894	12.8252	2.8751	2.0264	1.5453	1.4417	9.1184	7.3111	6.6359	3.8051	2.8181	2.4487	2.0875	0.9164	0.86	0.8	0.1724	0	0	0	0	0	0	0	0	0	0	0.9338	5.2731	4.3138	3.7093	3.618	2.7292	4.2057	3.5634	3.4407	1.7377	3.2561	3.188	2.7342	2.421	1.9734	1.8202	1.3502	0.9404	-0.0295	3.3306	3.131	0.9636
3	50193452	18.8261	4.0796	7.1456	1.8713	0.0519	6.4754	0.2491	1.4464	0.2678	1.5196	4.5855	1.4924	3.9521	1.5481	1.4674	16.8204	7.7289	9.1983	15.7362	1.9884	0.5698	2.1473	19.7063	7.2136	12.6855	2.6252	2.0264	1.5485	1.4096	7.3921	7.2575	6.4261	3.4547	2.8126	2.3623	1.9804	0.9164	0.8	0.1724	0	0	0	0	0	0	0	0	0	0	0	1	4.8184	3.7828	3.618	3.5318	2.6785	3.9269	3.5408	3.4407	1.875	3.2561	2.943	2.4363	2.3643	1.9385	1.5343	1.2828	1	-0.4556	3.2157	3.0956	0.7206
4	50262853	18.8261	4.2089	7.1456	1.7234	0.05	7.4978	0.2777	1.447	0.2579	1.5476	4.5855	1.5061	3.9521	1.5676	1.4885	21.8624	7.826	8.972	15.6472	2.0438	0.7664	2.1432	19.8121	7.1689	12.6381	2.7844	2.0264	1.6671	1.3875	8.227	7.258	6.7887	2.8126	2.7843	2.3725	1.954	0.8	0.8	0.8	0	0	0	0	0	0	0	0	0	0	0	0.9651	5.2983	3.8611	3.7715	3.618	2.8229	3.7844	3.5404	3.4407	2	3.2561	3.0882	2.6944	2.4342	1.9625	1.5737	1.35	1.1457	-0.4241	3.2999	3.2054	0.7642
5	50262850	18.8261	4.0475	7.1456	1.8512	0.045	9.1427	0.3048	1.4147	0.2321	1.5303	4.5855	1.4975	3.9521	1.5476	1.4488	21.5959	7.8887	9.3567	15.9468	2.2993	0.5698	2.4082	19.8772	7.4035	12.889	2.8769	2.0264	1.5922	1.5269	9.1225	7.2585	6.8358	3.8052	2.8127	2.5502	2.0894	1.1016	0.86	0.8	0.4608	0	0	0	0	0	0	0	0	0	0	1.3103	5.3092	4.3216	3.7902	3.618	3.0672	4.2066	3.6134	3.5391	2.4799	3.2561	3.211	2.8721	2.434	2.1166	1.9671	1.5157	1.2614	0.1725	3.3291	3.1996	1.3991
6	50262850	18.8261	4.0475	7.1456	1.8512	0.045	9.1427	0.3048	1.4147	0.2321	1.5303	4.5855	1.4975	3.9521	1.5476	1.4488	21.5959	7.8887	9.3567	15.9468	2.2993	0.5698	2.4082	19.8772	7.4035	12.889	2.8769	2.0264	1.5922	1.5269	9.1225	7.2585	6.8358	3.8052	2.8127	2.5502	2.0894	1.1016	0.86	0.8	0.4608	0	0	0	0	0	0	0	0	0	0	1.3103	5.3092	4.3216	3.7902	3.618	3.0672	4.2066	3.6134	3.5391	2.4799	3.2561	3.211	2.8721	2.434	2.1166	1.9671	1.5157	1.2614	0.1725	3.3291	3.1996	1.3991
7	50262813	18.8261	4.1502	7.1456	1.9	0.054	6.4754	0.259	1.4573	0.2786	1.5329	4.5855	1.5063	3.9521	1.562	1.4807	16.8204	7.72	9.1963	15.7362	1.9884	0.5698	2.1473	19.7058	7.1995	12.6821	2.6253	2.0264	1.4779	1.393	7.3966	7.2537	6.4261	3.4547	2.8132	2.3586	1.9794	0.9164	0.8	0.1724	0	0	0	0	0	0	0	0	0	0	0	1	4.817	3.7445	3.618	3.4714	2.5196	3.9269	3.5426	3.4407	1.6345	3.2561	2.9431	2.4405	2.3579	1.9035	1.5179	1.2614	1	-0.765	3.2217	3.0709	0.4632
8	50262813	18.8261	4.1502	7.1456	1.9	0.054	6.4754	0.259	1.4573	0.2786	1.5329	4.5855	1.5063	3.9521	1.562	1.4807	16.8204	7.72	9.1963	15.7362	1.9884	0.5698	2.1473	19.7058	7.1995	12.6821	2.6253	2.0264	1.4779	1.393	7.3966	7.2537	6.4261	3.4547	2.8132	2.3586	1.9794	0.9164	0.8	0.1724	0	0	0	0	0	0	0	0	0	0	0	1	4.817	3.7445	3.618	3.4714	2.5196	3.9269	3.5426	3.4407	1.6345	3.2561	2.9431	2.4405	2.3579	1.9035	1.5179	1.2614	1	-0.765	3.2217	3.0709	0.4632
9	50262786	18.8261	3.9963	7.1456	1.7882	0.0435	8.1954	0.2644	1.4085	0.2246	1.5197	4.5855	1.4538	3.9521	1.5194	1.4412	21.2297	7.8939	9.3461	15.9459	2.1728	0.5698	2.2676	19.8757	7.34	12.837	2.8755	2.0264	1.7449	1.5415	9.118	7.2579	6.7131	3.8051	2.8125	2.4673	2.0876	0.9164	0.86	0.8	0.1724	0	0	0	0	0	0	0	0	0	0	1.3728	5.2839	4.3158	3.8554	3.6183	3.0072	4.2058	3.5403	3.4407	2.2432	3.2561	3.188	2.7286	2.4344	1.9852	1.9427	1.5013	1.2614	0.3916	3.3044	3.2086	1.4688
10	50262848	18.8261	4.0957	7.1456	1.8234	0.0465	8.1954	0.2826	1.4176	0.2401	1.5375	4.5855	1.4663	3.9521	1.537	1.4524	21.2297	7.8789	9.3426	15.9459	2.1728	0.5698	2.2676	19.8748	7.3151	12.8311	2.8755	2.0264	1.5917	1.5137	9.118	7.2584	6.7121	3.8051	2.8127	2.4661	2.0876	0.9164	0.86	0.8	0.1724	0	0	0	0	0	0	0	0	0	0	1.2766	5.2838	4.3156	3.7858	3.618	2.8807	4.2058	3.5419	3.4407	1.9164	3.2561	3.188	2.7288	2.4335	1.9791	1.9158	1.3509	1.2614	-0.0238	3.3082	3.1973	1.2635
11	50262846	18.8261	4.1065	7.1456	1.8751	0.0465	9.1427	0.3153	1.4229	0.2401	1.5395	4.5855	1.5094	3.9521	1.5602	1.4595	21.5959	7.8812	9.3549	15.9468	2.2993	0.5698	2.4082	19.8768	7.3919	12.8862	2.8768	2.0264	1.5586	1.4717	9.1225	7.2646	6.8269	3.8052	2.8138	2.5471	2.0893	1.1016	0.86	0.8	0.4608	0	0	0	0	0	0	0	0	0	0	1.2185	5.3081	4.3213	3.7507	3.618	2.998	4.2066	3.6163	3.5357	2.3221	3.2561	3.211	2.8723	2.4327	2.1168	1.956	1.4953	1.2614	-0.0295	3.3343	3.1827	1.2634
12	50262846	18.8261	4.1065	7.1456	1.8751	0.0465	9.1427	0.3153	1.4229	0.2401	1.5395	4.5855	1.5094	3.9521	1.5602	1.4595	21.5959	7.8812	9.3549	15.9468	2.2993	0.5698	2.4082	19.8768	7.3919	12.8862	2.8768	2.0264	1.5586	1.4717	9.1225	7.2646	6.8269	3.8052	2.8138	2.5471	2.0893	1.1016	0.86	0.8	0.4608	0	0	0	0	0	0	0	0	0	0	1.2185	5.3081	4.3213	3.7507	3.618	2.998	4.2066	3.6163	3.5357	2.3221	3.2561	3.211	2.8723	2.4327	2.1168	1.956	1.4953	1.2614	-0.0295	3.3343	3.1827	1.2634
13	50262809	18.8261	4.1399	7.1456	1.7025	0.0482	7.4978	0.2678	1.4366	0.2487	1.539	4.5855	1.4919	3.9521	1.5543	1.4776	21.8624	7.834	8.9745	15.6472	2.0438	0.7664	2.1432	19.8126	7.1834	12.6417	2.7844	2.0264	1.7446	1.4204	8.227	7.2579	6.7888	2.8125	2.7844	2.3729	1.9593	0.8	0.8	0.8	0	0	0	0	0	0	0	0	0	0	0	1.0331	5.2983	3.8797	3.7874	3.618	2.9897	3.7844	3.5403	3.4407	2	3.2561	3.0882	2.6944	2.4344	1.9729	1.6609	1.3502	1.1457	-0.1697	3.2989	3.2086	1.0145
14	50262808	18.8261	3.9542	7.1456	1.8154	0.0422	9.1427	0.2857	1.4061	0.2176	1.5137	4.5855	1.4835	3.9521	1.5297	1.4383	21.5959	7.9036	9.3601	15.9468	2.2993	0.5698	2.4082	19.8781	7.4264	12.8945	2.8769	2.0264	1.7488	1.5488	9.1225	7.2579	6.8369	3.8052	2.8125	2.5511	2.0894	1.1016	0.86	0.8	0.4608	0	0	0	0	0	0	0	0	0	0	1.3922	5.3093	4.3218	3.8583	3.6204	3.1291	4.2066	3.6126	3.5402	2.4799	3.2561	3.211	2.872	2.4345	2.1165	1.981	1.6053	1.3501	0.3916	3.3266	3.209	1.5006
