No.	NAME	nCIR	TRS	Rperim	Rbrid	MCD	RFD	RCI	NRS	NNRS	nSpiro	nBridgeHead	nR03	nR04	nR05	nR06	nR07	nR08	nR09	nR10	nR11	nR12	nBnz	AP	D/Dtr03	D/Dtr04	D/Dtr05	D/Dtr06	D/Dtr07	D/Dtr08	D/Dtr09	D/Dtr10	D/Dtr11	D/Dtr12
1	50262810	4	17	15	1	0.6818	0.1333	1.1333	2	0.6667	0	0	0	0	1	2	0	0	1	0	0	0	2	0.5455	0	0	47.3528	137.0689	0	0	92.2959	0	0	0
2	50262811	4	17	15	1	0.6	0.1333	1.1333	2	0.6667	0	0	0	0	1	2	0	0	1	0	0	0	2	0.48	0	0	55.5403	160.8226	0	0	108.3496	0	0	0
3	50193452	4	17	15	1	0.625	0.1333	1.1333	2	0.6667	0	0	0	0	1	2	0	0	1	0	0	0	2	0.5	0	0	55.517	160.0314	0	0	107.5663	0	0	0
4	50262853	4	17	15	1	0.6	0.1333	1.1333	2	0.6667	0	0	0	0	1	2	0	0	1	0	0	0	1	0.24	0	0	59.3857	166.4782	0	0	114.8274	0	0	0
5	50262850	4	17	15	1	0.5357	0.1333	1.1333	2	0.6667	0	0	0	0	1	2	0	0	1	0	0	0	2	0.4286	0	0	67.9296	193.8255	0	0	131.4872	0	0	0
6	50262850	4	17	15	1	0.5357	0.1333	1.1333	2	0.6667	0	0	0	0	1	2	0	0	1	0	0	0	2	0.4286	0	0	67.9296	193.8255	0	0	131.4872	0	0	0
7	50262813	4	17	15	1	0.6522	0.1333	1.1333	2	0.6667	0	0	0	0	1	2	0	0	1	0	0	0	2	0.5217	0	0	51.4263	148.5749	0	0	99.9178	0	0	0
8	50262813	4	17	15	1	0.6522	0.1333	1.1333	2	0.6667	0	0	0	0	1	2	0	0	1	0	0	0	2	0.5217	0	0	51.4263	148.5749	0	0	99.9178	0	0	0
9	50262786	4	17	15	1	0.5172	0.1333	1.1333	2	0.6667	0	0	0	0	1	2	0	0	1	0	0	0	2	0.4138	0	0	73.3225	207.9802	0	0	141.2127	0	0	0
10	50262848	4	17	15	1	0.5556	0.1333	1.1333	2	0.6667	0	0	0	0	1	2	0	0	1	0	0	0	2	0.4444	0	0	64.4712	184.5557	0	0	124.8479	0	0	0
11	50262846	4	17	15	1	0.5556	0.1333	1.1333	2	0.6667	0	0	0	0	1	2	0	0	1	0	0	0	2	0.4444	0	0	63.3734	181.8997	0	0	123.0967	0	0	0
12	50262846	4	17	15	1	0.5556	0.1333	1.1333	2	0.6667	0	0	0	0	1	2	0	0	1	0	0	0	2	0.4444	0	0	63.3734	181.8997	0	0	123.0967	0	0	0
13	50262809	4	17	15	1	0.5769	0.1333	1.1333	2	0.6667	0	0	0	0	1	2	0	0	1	0	0	0	1	0.2308	0	0	63.5412	177.994	0	0	122.5729	0	0	0
14	50262808	4	17	15	1	0.5	0.1333	1.1333	2	0.6667	0	0	0	0	1	2	0	0	1	0	0	0	2	0.4	0	0	76.9565	217.4269	0	0	148.1261	0	0	0
15	50262786	4	17	15	1	0.5172	0.1333	1.1333	2	0.6667	0	0	0	0	1	2	0	0	1	0	0	0	2	0.4138	0	0	73.3225	207.9802	0	0	141.2127	0	0	0
16	50262853	4	17	15	1	0.6	0.1333	1.1333	2	0.6667	0	0	0	0	1	2	0	0	1	0	0	0	1	0.24	0	0	59.3857	166.4782	0	0	114.8274	0	0	0
17	50362874	5	24	22	1	0.6667	0.0909	1.0909	3	0.75	0	0	0	0	0	4	0	0	0	1	0	0	2	0.3636	0	0	0	432.8326	0	0	0	167.9916	0	0
18	50267493	5	24	22	1	0.4889	0.0909	1.0909	3	0.75	0	0	0	0	0	4	0	0	0	1	0	0	3	0.4	0	0	0	681.2122	0	0	0	259.8633	0	0
19	50267492	5	24	22	1	0.4783	0.0909	1.0909	3	0.75	0	0	0	0	0	4	0	0	0	1	0	0	3	0.3913	0	0	0	700.9779	0	0	0	268.1043	0	0
20	50267494	5	24	22	1	0.55	0.0909	1.0909	3	0.75	0	0	0	0	0	4	0	0	0	1	0	0	3	0.45	0	0	0	575.2658	0	0	0	219.2616	0	0
21	50267495	5	24	22	1	0.5366	0.0909	1.0909	3	0.75	0	0	0	0	0	4	0	0	0	1	0	0	3	0.439	0	0	0	594.4176	0	0	0	227.1672	0	0
22	50267496	5	24	22	1	0.5366	0.0909	1.0909	3	0.75	0	0	0	0	0	4	0	0	0	1	0	0	3	0.439	0	0	0	598.2925	0	0	0	228.1276	0	0
23	50267497	5	24	22	1	0.5238	0.0909	1.0909	3	0.75	0	0	0	0	0	4	0	0	0	1	0	0	3	0.4286	0	0	0	617.6222	0	0	0	236.1285	0	0
24	50267498	5	24	22	1	0.5238	0.0909	1.0909	3	0.75	0	0	0	0	0	4	0	0	0	1	0	0	3	0.4286	0	0	0	621.2554	0	0	0	237.0146	0	0
25	50267499	5	24	22	1	0.5116	0.0909	1.0909	3	0.75	0	0	0	0	0	4	0	0	0	1	0	0	3	0.4186	0	0	0	640.745	0	0	0	245.1025	0	0
26	50267501	5	24	22	1	0.5	0.0909	1.0909	3	0.75	0	0	0	0	0	4	0	0	0	1	0	0	3	0.4091	0	0	0	667.0463	0	0	0	254.8522	0	0
27	50267500	5	24	22	1	0.4889	0.0909	1.0909	3	0.75	0	0	0	0	0	4	0	0	0	1	0	0	3	0.4	0	0	0	686.812	0	0	0	263.0932	0	0
28	8960	5	23	21	1	0.75	0.0952	1.0952	3	0.75	0	0	0	0	1	3	0	0	1	0	0	0	2	0.4286	0	0	64.2837	273.8023	0	0	122.0539	0	0	0
