No.	NAME	qpmax	qnmax	Qtot	Qmean	Q2	RPCG	RNCG	SPP	LDI
1	50262810	0.262	-0.2995	3.3428	0.0836	0.5365	0.1567	0.1792	0.5614	0.1311
2	50262811	0.262	-0.4948	4.1343	0.088	0.8061	0.1267	0.2394	0.7568	0.1441
3	50193452	0.2619	-0.3012	3.4951	0.076	0.5422	0.1499	0.1723	0.5631	0.1224
4	50262853	0.2619	-0.2999	3.7022	0.0686	0.6126	0.1415	0.162	0.5618	0.1235
5	50262850	0.2619	-0.4948	4.5663	0.0878	0.8443	0.1147	0.2167	0.7567	0.1393
6	50262850	0.2619	-0.4948	4.5663	0.0878	0.8443	0.1147	0.2167	0.7567	0.1393
7	50262813	0.2619	-0.3011	3.3924	0.0789	0.5386	0.1544	0.1775	0.563	0.1264
8	50262813	0.2619	-0.3011	3.3924	0.0789	0.5386	0.1544	0.1775	0.563	0.1264
9	50262786	0.2619	-0.4948	4.4982	0.0762	0.82	0.1165	0.22	0.7567	0.1275
10	50262848	0.2619	-0.4948	4.2861	0.0809	0.8117	0.1222	0.2309	0.7567	0.1352
11	50262846	0.2619	-0.4948	4.4655	0.0911	0.8408	0.1173	0.2216	0.7567	0.1438
12	50262846	0.2619	-0.4948	4.4655	0.0911	0.8408	0.1173	0.2216	0.7567	0.1438
13	50262809	0.2619	-0.2999	3.8083	0.0668	0.6169	0.1376	0.1575	0.5618	0.12
14	50262808	0.2619	-0.4948	4.7783	0.0824	0.8526	0.1096	0.2071	0.7567	0.1311
15	50262786	0.2619	-0.4948	4.4982	0.0762	0.82	0.1165	0.22	0.7567	0.1275
16	50262853	0.2619	-0.2999	3.7022	0.0686	0.6126	0.1415	0.162	0.5618	0.1235
17	50362874	0.3404	-0.4931	6.1731	0.095	1.5277	0.1103	0.1597	0.8335	0.158
18	50267493	0.2586	-0.4948	9.2636	0.1065	2.3026	0.0558	0.1068	0.7534	0.1661
19	50267492	0.2586	-0.4948	9.3445	0.1038	2.3043	0.0553	0.1059	0.7534	0.1631
20	50267494	0.2923	-0.5027	8.9219	0.1239	2.3651	0.0655	0.1127	0.795	0.1924
21	50267495	0.2923	-0.5027	9.0034	0.12	2.3669	0.0649	0.1117	0.795	0.1878
22	50267496	0.2923	-0.5027	8.9729	0.1196	2.3677	0.0652	0.112	0.795	0.1874
23	50267497	0.2923	-0.5027	9.0544	0.1161	2.3695	0.0646	0.111	0.795	0.1831
24	50267498	0.2923	-0.5027	9.0757	0.1164	2.3713	0.0644	0.1108	0.795	0.1828
25	50267499	0.2923	-0.5027	9.1567	0.113	2.373	0.0638	0.1098	0.795	0.1788
26	50267501	0.2923	-0.5027	9.2878	0.1106	2.3796	0.0629	0.1082	0.795	0.1741
27	50267500	0.2923	-0.5027	9.3688	0.1077	2.3814	0.0624	0.1073	0.795	0.1707
28	8960	0.1669	-0.4914	4.2533	0.0746	0.853	0.0785	0.2311	0.6583	0.1084
29	50267503	0.2586	-0.4912	8.1876	0.1153	2.0202	0.0632	0.12	0.7498	0.1743
30	50267504	0.2586	-0.4912	8.2692	0.1117	2.022	0.0626	0.1188	0.7498	0.1703
31	50267505	0.2586	-0.4948	8.8976	0.1186	2.288	0.0581	0.1112	0.7534	0.1825
32	50267506	0.2586	-0.4948	8.9792	0.1151	2.2898	0.0576	0.1102	0.7534	0.1784
33	50267511	0.2586	-0.4912	8.2387	0.1113	2.0228	0.0628	0.1192	0.7498	0.1699
34	50267512	0.2586	-0.4912	8.3202	0.1081	2.0246	0.0622	0.1181	0.7498	0.1662
35	50267514	0.2586	-0.4948	8.9486	0.1147	2.2906	0.0578	0.1106	0.7534	0.1781
36	50267550	0.2586	-0.4948	9.0302	0.1115	2.2924	0.0573	0.1096	0.7534	0.1743
