No.	NAME	Ui	Hy	TPSA(Tot)	MLOGP	MLOGP2	ALOGP2	LOGPcons	ESOL	PDI	SAscore
1	50262810	3.1699	-0.8066	42.31	3.047	9.2839	6.6802	2.6821	-3.3927	0.9828	3.2076
2	50262811	3.1699	-0.7904	51.54	2.9871	8.923	8.5089	2.9058	-3.587	0.9618	3.2664
3	50193452	3.1699	-0.8228	42.31	3.5068	12.2977	10.4135	3.3095	-3.779	0.9727	3.2136
4	50262853	2.585	-0.7904	45.55	2.567	6.5894	7.7468	2.6097	-3.3192	0.9451	3.1333
5	50262850	3.4594	-0.8129	51.54	3.5681	12.7316	19.3846	3.7259	-4.1646	0.9581	3.3987
6	50262850	3.4594	-0.8129	51.54	3.5681	12.7316	19.3846	3.7259	-4.1646	0.9581	3.3987
7	50262813	3.1699	-0.815	42.31	3.2793	10.7538	7.0066	2.9103	-3.5261	0.9774	3.2228
8	50262813	3.1699	-0.815	42.31	3.2793	10.7538	7.0066	2.9103	-3.5261	0.9774	3.2228
9	50262786	3.1699	-0.8193	51.54	3.8549	14.8602	19.997	4.2335	-4.4195	0.9498	3.2854
10	50262848	3.1699	-0.8059	51.54	3.4289	11.7575	12.6693	3.5273	-3.9729	0.9552	3.2791
11	50262846	3.4594	-0.8059	51.54	3.3533	11.2446	14.6138	3.3309	-3.9124	0.9613	3.4058
12	50262846	3.4594	-0.8059	51.54	3.3533	11.2446	14.6138	3.3309	-3.9124	0.9613	3.4058
13	50262809	2.585	-0.7984	45.55	2.79	7.784	10.4944	2.9662	-3.5471	0.9427	3.1373
14	50262808	3.4594	-0.8254	51.54	3.9869	15.8955	28.2514	4.4297	-4.6103	0.9525	3.4003
15	50262786	3.1699	-0.8193	51.54	3.8549	14.8602	19.997	4.2335	-4.4195	0.9498	3.2854
16	50262853	2.585	-0.7904	45.55	2.567	6.5894	7.7468	2.6097	-3.3192	0.9451	3.1333
17	50362874	3.1699	-0.7812	64.38	2.6118	6.8215	20.9206	3.731	-4.6996	0.955	3.7598
18	50267493	3.7004	-0.4072	108.7	1.8019	3.2467	31.4127	4.3104	-5.2129	0.9368	3.9767
19	50267492	3.7004	-0.4143	108.7	1.9809	3.9239	35.4442	4.6164	-5.4061	0.9356	3.9855
20	50267494	3.7004	0.1491	119.7	1.3851	1.9186	14.4316	2.9484	-4.3662	0.9356	3.9497
21	50267495	3.7004	0.137	119.7	1.5753	2.4817	17.2034	3.2581	-4.5611	0.9343	3.9526
22	50267496	3.7004	0.137	119.7	1.5753	2.4817	14.9096	3.1626	-4.4948	0.9343	3.9604
23	50267497	3.7004	0.1253	119.7	1.7631	3.1086	17.7249	3.4715	-4.6893	0.9331	3.9644
24	50267498	3.7004	0.1253	119.7	1.7631	3.1086	19.7251	3.5486	-4.7428	0.9331	3.9612
25	50267499	3.7004	0.1142	119.7	1.9486	3.797	22.9451	3.8567	-4.9369	0.9319	3.9665
26	50267501	3.7004	0.1035	119.7	2.1318	4.5445	28.6621	4.2357	-5.1805	0.9308	3.9727
27	50267500	3.7004	0.0932	119.7	2.3129	5.3494	32.5185	4.5424	-5.3739	0.9298	3.9803
28	8960	3	-0.8482	38.77	3.5161	12.3629	20.8822	4.149	-4.7765	0.9656	3.7728
29	50267503	3.7004	-0.3833	99.47	1.6049	2.5759	16.5348	3.2089	-4.4555	0.9504	3.8977
30	50267504	3.7004	-0.3919	99.47	1.7952	3.2226	19.4931	3.5187	-4.6501	0.9485	3.9007
31	50267505	3.7004	-0.3758	108.7	1.0643	1.1328	16.4017	3.0261	-4.4001	0.9423	3.9486
32	50267506	3.7004	-0.3842	108.7	1.2521	1.5678	19.3486	3.335	-4.5946	0.9408	3.953
33	50267511	3.7004	-0.3919	99.47	1.7952	3.2226	17.0462	3.4232	-4.5839	0.9485	3.9086
34	50267512	3.7004	-0.4	99.47	1.983	3.9321	20.048	3.7321	-4.7782	0.9467	3.9128
35	50267514	3.7004	-0.3842	108.7	1.2521	1.5678	16.911	3.2396	-4.5283	0.9408	3.9606
36	50267550	3.7004	-0.3922	108.7	1.4376	2.0666	19.9014	3.5477	-4.7225	0.9393	3.966
37	50267551	3.7004	-0.4	99.47	1.983	3.9321	22.1719	3.8092	-4.8317	0.9467	3.9094
38	50267552	3.7004	-0.4078	99.47	2.1684	4.702	25.5783	4.1173	-5.0256	0.9451	3.9149
39	50267553	3.7004	-0.3922	108.7	1.4376	2.0666	22.0177	3.6248	-4.776	0.9393	3.9628
40	50267491	3.7004	-0.3999	108.7	1.6208	2.627	25.4127	3.9321	-4.9698	0.938	3.9694
41	50267513	3.7004	-0.4153	99.47	2.3516	5.5301	31.5968	4.4962	-5.269	0.9435	3.9212
42	50267502	3.7004	-0.4224	99.47	2.5327	6.4145	35.6397	4.8029	-5.4623	0.9421	3.929
43	50272619	3.7549	0.7179	84.97	2.9291	8.5795	34.7982	4.5133	-5.6627	1.0431	4.0523
44	50272620	3.7549	0.7179	84.97	2.9291	8.5795	34.7982	4.5133	-5.6627	1.0431	4.0245
45	50272627	3.7549	0.7179	84.97	2.9291	8.5795	34.7982	4.5133	-5.6627	1.0431	4.0228
46	50272610	3.6439	0.7122	87.48	3.1722	10.0627	34.5215	4.5581	-5.6812	1.0274	4.0264
47	50272685	3.5236	0.7236	61.18	3.3142	10.984	36.2416	4.7248	-5.6714	1.0521	3.8543
48	50272735	3.5236	0.7179	70.41	3.003	9.0182	36.0444	4.6185	-5.6658	1.0356	4.0238
49	50272736	3.5236	0.7066	61.18	3.507	12.299	42.3319	5.0539	-5.9778	1.0454	4.0385
50	8961	2.7004	0.3658	38.91	2.2085	4.8776	7.7841	2.5648	-3.2817	1.0524	3.0294
51	50199522	2.585	1.0879	58.88	2.2984	5.2829	1.1168	1.7651	-2.7331	0.9756	4.7791
52	50272628	3.858	0.7285	102.04	2.3655	5.5954	24.0806	3.8749	-5.298	1.0402	4.1277
53	50272629	3.858	0.7285	102.04	2.3655	5.5954	24.0806	3.8749	-5.298	1.0402	4.1004
54	50272630	3.858	0.7285	102.04	2.3655	5.5954	24.0806	3.8749	-5.298	1.0402	4.1467
55	50272631	3.858	0.7285	102.04	2.3655	5.5954	24.0806	3.8749	-5.298	1.0402	4.0987
56	50272632	3.7549	0.7349	84.97	2.7363	7.4874	29.6241	4.1669	-5.344	1.0496	4.0771
57	50272633	3.7549	0.7016	84.97	3.1193	9.7301	40.3886	4.8588	-5.9811	1.0371	4.0184
58	50272680	3.858	0.0854	88.05	2.8815	8.3029	33.2468	4.5785	-5.8444	1.0247	4.1449
59	50272681	3.7549	0.7528	84.97	2.5409	6.4559	24.8662	3.8197	-5.225	1.0568	4.085
60	50272682	3.7549	0.7349	84.97	2.7363	7.4874	29.6241	4.1669	-5.444	1.0496	4.0278
61	50272610	3.6439	0.7122	87.48	3.1722	10.0627	34.5215	4.5581	-5.6812	1.0274	4.0264
62	50272735	3.5236	0.7179	70.41	3.003	9.0182	36.0444	4.6185	-5.6658	1.0356	4.0238
63	50272736	3.5236	0.7066	61.18	3.507	12.299	42.3319	5.0539	-5.9778	1.0454	4.0385
64	8961	2.7004	0.3658	38.91	2.2085	4.8776	7.7841	2.5648	-3.2817	1.0524	3.0294
65	50199522	2.585	1.0879	58.88	2.2984	5.2829	1.1168	1.7651	-2.7331	0.9756	4.7791
66	50272619	3.7549	0.7179	84.97	2.9291	8.5795	34.7982	4.5133	-5.6627	1.0431	4.0523
67	50272618	3.7549	0.7179	84.97	2.9291	8.5795	34.7982	4.5133	-5.6627	1.0431	4.0716
68	50272627	3.7549	0.7179	84.97	2.9291	8.5795	34.7982	4.5133	-5.6627	1.0431	4.0228
69	50272628	3.858	0.7285	102.04	2.3655	5.5954	24.0806	3.8749	-5.298	1.0402	4.1277
70	50272630	3.858	0.7285	102.04	2.3655	5.5954	24.0806	3.8749	-5.298	1.0402	4.1467
71	50272631	3.858	0.7285	102.04	2.3655	5.5954	24.0806	3.8749	-5.298	1.0402	4.0987
72	50272633	3.7549	0.7016	84.97	3.1193	9.7301	40.3886	4.8588	-5.9811	1.0371	4.0184
73	50272680	3.858	0.0854	88.05	2.8815	8.3029	33.2468	4.5785	-5.8444	1.0247	4.1449
74	50272681	3.7549	0.7528	84.97	2.5409	6.4559	24.8662	3.8197	-5.225	1.0568	4.085
75	50272685	3.5236	0.7236	61.18	3.3142	10.984	36.2416	4.7248	-5.6714	1.0521	3.8543
76	50151982	3.8074	0.8016	102.29	1.7882	3.1977	20.5771	3.2907	-4.4983	1.0266	4.1222
77	50272620	3.7549	0.7179	84.97	2.9291	8.5795	34.7982	4.5133	-5.6627	1.0431	4.0245
78	50272629	3.858	0.7285	102.04	2.3655	5.5954	24.0806	3.8749	-5.298	1.0402	4.1004
79	50272632	3.7549	0.7349	84.97	2.7363	7.4874	29.6241	4.1669	-5.344	1.0496	4.0771
80	50272682	3.7549	0.7349	84.97	2.7363	7.4874	29.6241	4.1669	-5.444	1.0496	4.0278
81	50272618	3.7549	0.7179	84.97	2.9291	8.5795	34.7982	4.5133	-5.6627	1.0431	4.0716
82	50451933	3.1699	-0.4378	72.14	3.3467	11.2001	31.9553	4.9116	-5.2538	0.9353	3.7791
83	8960	3	-0.8482	38.77	3.5161	12.3629	20.8822	4.149	-4.7765	0.9656	3.7728
84	50451936	3.1699	-0.846	51.91	3.9258	15.4122	41.2472	5.5736	-5.7407	0.9535	3.7312
85	50451937	3.1699	-0.4212	72.14	2.9584	8.7523	22.4723	4.2179	-4.8117	0.9383	3.7797
86	50451938	3.1699	-0.8363	51.91	3.5321	12.4758	30.3601	4.8782	-5.2982	0.9584	3.7361
87	50451948	3.1699	-0.831	51.91	3.3309	11.0948	25.5409	4.529	-5.0764	0.9611	3.7417
88	50025480	3.1699	-0.3008	78.13	1.2113	1.4673	7.9518	2.3551	-3.452	0.9301	3.6361
89	50049402	3.1699	-0.3096	68.9	1.7457	3.0475	8.0446	2.5359	-3.5148	0.9439	3.7011
90	50451949	3.1699	-0.4122	72.14	2.7602	7.6185	18.3552	3.8698	-4.59	0.9401	3.7828
91	50451950	3.1699	-0.4297	72.14	3.1539	9.947	27.0057	4.5652	-5.033	0.9368	3.7786
92	85573	3.1699	-0.3205	59.67	2.2902	5.2448	8.1379	2.72	-3.5835	0.9611	3.692
93	50451961	3.1699	-0.8413	51.91	3.7304	13.9158	35.5955	5.2264	-5.5197	0.9558	3.7327
94	50284329	3.2479	0.3271	102.99	3.2557	10.5998	17.5259	3.2153	-3.7786	0.9369	3.7893
95	50284331	3.2479	0.3518	102.99	3.0182	9.1093	10.3279	2.566	-3.3503	0.939	3.8263
96	50284335	3.2479	0.407	102.99	2.5255	6.3784	8.1664	2.1389	-3.1004	0.9438	3.8628
97	50284333	3.6439	0.262	102.99	3.7115	13.775	19.7243	3.5856	-4.4027	0.9713	3.8658
98	50284336	3.2479	0.3784	102.99	2.7749	7.7003	8.3666	2.2478	-3.1524	0.9413	3.9277
99	50199522	2.585	1.0879	58.88	2.2984	5.2829	1.1168	1.7651	-2.7331	0.9756	4.7791
100	50284430	3.2479	0.3518	102.99	3.0182	9.1093	13.9144	2.8541	-3.5502	0.939	3.8113
101	50284424	3.5236	0.3651	126.78	2.1923	4.8062	8.0457	1.9996	-3.0165	0.9369	4.008
102	50284433	3.2479	1.1586	111.78	2.2694	5.1502	5.3908	1.7609	-2.7622	0.953	3.8868
103	50284339	3.2479	0.3784	102.99	2.7749	7.7003	10.2816	2.4684	-3.3055	0.9413	3.8306
104	50284334	3.3923	0.3913	120.06	2.3551	5.5464	4.483	1.8076	-3.0237	0.9384	3.8464
105	50284332	3.5236	0.3913	126.78	1.9491	3.7989	7.8495	1.8927	-2.9648	0.9391	3.9458
106	50284431	3.5236	0.3518	102.99	2.9406	8.6473	16.4017	2.6758	-3.5023	0.9446	3.9353
107	50284434	3.2479	1.1178	111.78	2.5255	6.3784	5.5536	1.872	-2.8151	0.9497	3.9475
108	50284337	3.2479	0.3518	102.99	3.0182	9.1093	10.506	2.5752	-3.3567	0.939	3.898
109	50284432	3.2479	1.08	111.78	2.7749	7.7003	7.1706	2.1922	-3.0139	0.9468	3.8484
