No.	NAME	Ro5	DLS_01	DLS_02	DLS_03	DLS_04	DLS_05	DLS_06	DLS_07	DLS_cons	LLS_01	LLS_02	CMC-80	CMC-50	Inflammat-80	Inflammat-50	Depressant-80	Depressant-50	Psychotic-80	Psychotic-50	Hypertens-80	Hypertens-50	Hypnotic-80	Hypnotic-50	Neoplastic-80	Neoplastic-50	Infective-80	Infective-50	QEDu
1	50262810	0	1	1	1	0.8	0.5	1	1	0.9	0.5	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0.8419
2	50262811	0	1	1	1	0.8	0.5	1	1	0.9	0.5	1	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	0.7728
3	50193452	0	1	1	1	0.8	0.5	1	1	0.9	0.3333	1	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	0.7024
4	50262853	0	1	1	1	1	1	1	1	1	0.5	1	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	0.6695
5	50262850	0	1	1	0.8333	0.8	0.5	1	1	0.8762	0.3333	1	1	0	1	0	1	0	1	1	1	0	0	0	1	0	1	0	0.536
6	50262850	0	1	1	0.8333	0.8	0.5	1	1	0.8762	0.3333	1	1	0	1	0	1	0	1	1	1	0	0	0	1	0	1	0	0.536
7	50262813	0	1	1	1	0.8	0.5	1	1	0.9	0.3333	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0.8224
8	50262813	0	1	1	1	0.8	0.5	1	1	0.9	0.3333	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0.8224
9	50262786	0	1	0.8333	0.8333	1	1	0.8333	0.5	0.8571	0.3333	0.875	1	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0.5335
10	50262848	0	1	1	0.8333	1	1	1	1	0.9762	0.3333	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	0.6169
11	50262846	0	1	1	1	0.8	0.5	1	1	0.9	0.3333	1	1	1	1	0	1	0	1	1	1	0	0	0	1	0	1	0	0.648
12	50262846	0	1	1	1	0.8	0.5	1	1	0.9	0.3333	1	1	1	1	0	1	0	1	1	1	0	0	0	1	0	1	0	0.648
13	50262809	0	1	1	1	1	1	1	1	1	0.5	1	1	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	0.6395
14	50262808	0	1	0.8333	0.8333	1	0.5	0.8333	0.5	0.7857	0.3333	0.875	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4691
15	50262786	0	1	0.8333	0.8333	1	1	0.8333	0.5	0.8571	0.3333	0.875	1	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0.5335
16	50262853	0	1	1	1	1	1	1	1	1	0.5	1	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	0.6695
17	50362874	0	1	0.8333	1	1	1	1	1	0.9762	0.3333	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4462
18	50267493	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2002
19	50267492	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1778
20	50267494	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3111
21	50267495	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2888
22	50267496	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.279
23	50267497	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2567
24	50267498	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2567
25	50267499	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2336
