No.	NAME	MDEC-11	MDEC-12	MDEC-13	MDEC-14	MDEC-22	MDEC-23	MDEC-24	MDEC-33	MDEC-44	MDEO-11	MDEO-12	MDEO-22	MDEN-11	MDEN-12	MDEN-13	MDEN-22	MDEN-23	MDEN-33
1	50262810	0	2.6074	1.0297	0	14.9154	14.6462	0	3.8463	0	0.25	0	0	0	0	0	0	0	0.3333
2	50262811	0.1429	4.2694	2.0402	0	14.5231	17.7009	0	4.6383	0	0.25	0.2222	0	0	0	0	0	0	0.3333
3	50193452	0	2.8542	0.8022	0	18.8037	15.1229	0	3.4532	0	0.25	0	0	0	0	0	0	0	0.2
4	50262853	0.5	3.5239	1.3266	0	17.683	13.729	0	3.059	0	0.25	0	0	0	0	0	0	0	0.5503
5	50262850	0.125	4.7378	1.6297	0	21.156	18.9919	0	4.0521	0	0.25	0.1818	0	0	0	0	0	0	0.2
6	50262850	0.125	4.7378	1.6297	0	21.156	18.9919	0	4.0521	0	0.25	0.1818	0	0	0	0	0	0	0.2
7	50262813	0	2.747	0.9	0	16.8255	14.927	0	3.6312	0	0.25	0	0	0	0	0	0	0	0.25
8	50262813	0	2.747	0.9	0	16.8255	14.927	0	3.6312	0	0.25	0	0	0	0	0	0	0	0.25
9	50262786	0.1429	4.8187	1.5453	0	22.7452	18.4472	0	3.6388	0	0.25	0.1538	0	0	0	0	0	0	0.1429
10	50262848	0.1429	4.5945	1.7496	0	18.5573	18.1992	0	4.0521	0	0.25	0.1818	0	0	0	0	0	0	0.2
11	50262846	0.125	4.6033	1.7436	0	19.0252	18.8663	0	4.3167	0	0.25	0.2	0	0	0	0	0	0	0.25
12	50262846	0.125	4.6033	1.7436	0	19.0252	18.8663	0	4.3167	0	0.25	0.2	0	0	0	0	0	0	0.25
13	50262809	0.5	3.6185	1.2473	0	19.7556	13.8526	0	2.9585	0	0.25	0	0	0	0	0	0	0	0.5047
14	50262808	0.125	4.9465	1.4492	0	25.4692	19.1256	0	3.6388	0	0.25	0.1538	0	0	0	0	0	0	0.1429
15	50262786	0.1429	4.8187	1.5453	0	22.7452	18.4472	0	3.6388	0	0.25	0.1538	0	0	0	0	0	0	0.1429
16	50262853	0.5	3.5239	1.3266	0	17.683	13.729	0	3.059	0	0.25	0	0	0	0	0	0	0	0.5503
17	50362874	0.639	6.2645	6.7483	0	17.477	19.0073	0	8.5475	0	0	0.6507	0.8579	0	0	0	0	0	0.3333
18	50267493	0.7478	8.0834	6.8532	0	22.9374	26.9575	0	11.532	0	0.0909	1.4974	1.7802	0	0	0	0	0.1429	0
19	50267492	0.7267	8.3474	6.7259	0	25.6441	27.7846	0	11.532	0	0.0909	1.4974	1.7802	0	0	0	0	0.1429	0
20	50267494	0.456	6.0817	5.7035	0	15.0812	25.6185	0	12.4985	0	0.3614	2.0816	1.1415	0	0	0	0	0.3333	0
21	50267495	0.4367	6.3785	5.5443	0	17.4375	26.7182	0	12.4985	0	0.3614	2.0816	1.1415	0	0	0	0	0.3333	0
22	50267496	0.4416	6.3064	5.5099	0	16.9468	26.0354	0	12.2211	0	0.3614	2.0529	1.1132	0	0	0	0	0.25	0
23	50267497	0.4233	6.58	5.3646	0	19.4213	27.0477	0	12.2211	0	0.3614	2.0529	1.1132	0	0	0	0	0.25	0
24	50267498	0.4283	6.5032	5.3366	0	18.8892	26.388	0	11.9704	0	0.3614	2.0266	1.0874	0	0	0	0	0.2	0
25	50267499	0.4108	6.7584	5.2026	0	21.4579	27.3282	0	11.9704	0	0.3614	2.0266	1.0874	0	0	0	0	0.2	0
26	50267501	0.4045	6.8349	5.0371	0	22.9374	26.9575	0	11.532	0	0.3614	1.98	1.0416	0	0	0	0	0.1429	0
27	50267500	0.3885	7.0621	4.9204	0	25.6441	27.7846	0	11.532	0	0.3614	1.98	1.0416	0	0	0	0	0.1429	0
28	8960	0.2	3.0405	3.1806	0	20.5726	23.6892	0	8.3455	0	0	0.3651	0.3333	0	0	0	0	0	0
29	50267503	0.608	5.7742	6.5657	0	17.6692	23.8777	0	12.1014	0	0.0909	1.4489	1.8711	0	0	0	0	0.3333	0
30	50267504	0.5921	5.9585	6.3984	0	20.2608	24.7883	0	12.1014	0	0.0909	1.4489	1.8711	0	0	0	0	0.3333	0
31	50267505	0.8337	7.2084	7.6166	0	15.0812	25.6185	0	12.4985	0	0.0909	1.57	1.9154	0	0	0	0	0.3333	0
32	50267506	0.8079	7.5516	7.4461	0	17.4375	26.7182	0	12.4985	0	0.0909	1.57	1.9154	0	0	0	0	0.3333	0
33	50267511	0.5921	5.9577	6.4182	0	19.6004	24.1775	0	11.9327	0	0.0909	1.4489	1.8711	0	0	0	0	0.25	0
34	50267512	0.5773	6.1193	6.2656	0	22.3084	25.0045	0	11.9327	0	0.0909	1.4489	1.8711	0	0	0	0	0.25	0
35	50267514	0.8098	7.4651	7.3968	0	16.9468	26.0354	0	12.2211	0	0.0909	1.5493	1.8775	0	0	0	0	0.25	0
36	50267550	0.7854	7.7825	7.2403	0	19.4213	27.0477	0	12.2211	0	0.0909	1.5493	1.8775	0	0	0	0	0.25	0
37	50267551	0.5773	6.1213	6.286	0	21.5947	24.4347	0	11.7797	0	0.0909	1.4489	1.8711	0	0	0	0	0.2	0
38	50267552	0.5636	6.2647	6.1451	0	24.3948	25.1927	0	11.7797	0	0.0909	1.4489	1.8711	0	0	0	0	0.2	0
39	50267553	0.7876	7.6929	7.1986	0	18.8892	26.388	0	11.9704	0	0.0909	1.5305	1.8426	0	0	0	0	0.2	0
40	50267491	0.7645	7.9894	7.0536	0	21.4579	27.3282	0	11.9704	0	0.0909	1.5305	1.8426	0	0	0	0	0.2	0
41	50267513	0.5509	6.4037	6.0565	0	25.7162	24.8583	0	11.5104	0	0.0909	1.4489	1.8711	0	0	0	0	0.1429	0
42	50267502	0.5389	6.5196	5.9336	0	28.6499	25.5088	0	11.5104	0	0.0909	1.4489	1.8711	0	0	0	0	0.1429	0
43	50272619	0	0	0	0	30.5215	34.4972	0	8.782	0	0	0	0	0.0556	0.4591	0.471	0.0769	0.6714	0.3333
