No.	NAME	MWC07	SRW05	MPC09	piPC03	piPC07	piPC10	piID	PCD
1	50262810	9.102	2.3979	4.0943	4.5695	5.6451	5.6199	8.9551	2.1993
2	50262811	9.2462	2.3979	4.3438	4.6775	5.7775	5.8399	9.2803	2.2773
3	50193452	9.1255	2.3979	3.989	4.5901	5.6309	5.3267	9.0029	2.1318
4	50262853	9.1951	2.3979	4.0604	4.4278	5.5062	5.1161	8.347	1.31
5	50262850	9.2842	2.3979	4.2341	4.723	5.8139	5.7372	9.3735	2.2236
6	50262850	9.2842	2.3979	4.2341	4.723	5.8139	5.7372	9.3735	2.2236
7	50262813	9.1124	2.3979	4.0604	4.5799	5.6416	5.4467	8.9792	2.1647
8	50262813	9.1124	2.3979	4.0604	4.5799	5.6416	5.4467	8.9792	2.1647
9	50262786	9.2894	2.3979	4.1109	4.714	5.7524	5.41	9.3557	2.1598
10	50262848	9.2657	2.3979	4.1744	4.6959	5.7492	5.5079	9.3185	2.216
11	50262846	9.2732	2.3979	4.3307	4.714	5.8258	5.8578	9.3553	2.2528
12	50262846	9.2732	2.3979	4.3307	4.714	5.8258	5.8578	9.3553	2.2528
13	50262809	9.208	2.3979	4.0254	4.4397	5.5103	5.0918	8.3856	1.2988
14	50262808	9.3076	2.3979	4.1589	4.7406	5.8169	5.6065	9.4092	2.1685
15	50262786	9.2894	2.3979	4.1109	4.714	5.7524	5.41	9.3557	2.1598
16	50262853	9.1951	2.3979	4.0604	4.4278	5.5062	5.1161	8.347	1.31
17	50362874	9.531	0	4.8828	4.9053	6.3828	6.5219	10.6337	2.6117
18	50267493	9.7317	0	5.2832	5.186	6.786	7.7174	12.1012	3.5337
19	50267492	9.7505	0	5.2983	5.1971	6.7964	7.7212	12.1138	3.5165
20	50267494	9.6691	0	5.2204	5.146	6.7374	7.6854	11.968	3.5928
21	50267495	9.6892	0	5.2364	5.1576	6.7506	7.6903	11.9813	3.5728
22	50267496	9.677	0	5.2149	5.1518	6.7409	7.6831	11.9813	3.5728
23	50267497	9.6969	0	5.2311	5.1634	6.7518	7.6871	11.9944	3.5534
24	50267498	9.6849	0	5.2149	5.1576	6.7397	7.6799	11.9944	3.5534
25	50267499	9.7046	0	5.2364	5.1691	6.7506	7.6838	12.0074	3.5347
26	50267501	9.7007	0	5.2257	5.1691	6.7421	7.6799	12.0202	3.5167
27	50267500	9.7201	0	5.2417	5.1804	6.753	7.6838	12.0328	3.4992
28	8960	9.3832	2.3979	4.9273	4.7185	6.0547	6.2448	9.8521	2.1175
29	50267503	9.6338	0	5.247	5.1105	6.7518	7.7099	11.7787	3.472
30	50267504	9.6543	0	5.2627	5.1225	6.7632	7.7112	11.7959	3.4526
31	50267505	9.7011	0	5.2781	5.1634	6.7815	7.7227	12.0491	3.6084
32	50267506	9.7206	0	5.2933	5.1747	6.7942	7.7274	12.0624	3.5888
33	50267511	9.6421	0	5.247	5.1165	6.7553	7.7076	11.7959	3.4526
34	50267512	9.6622	0	5.2627	5.1284	6.7643	7.7081	11.8129	3.434
35	50267514	9.7087	0	5.273	5.1691	6.7849	7.7205	12.0624	3.5888
36	50267550	9.728	0	5.2883	5.1804	6.7953	7.7243	12.0755	3.5698
37	50267551	9.6502	0	5.247	5.1225	6.7542	7.7058	11.8129	3.434
38	50267552	9.6702	0	5.2679	5.1343	6.7632	7.7063	11.8295	3.4161
39	50267553	9.7164	0	5.273	5.1747	6.7838	7.7174	12.0755	3.5698
40	50267491	9.7355	0	5.2933	5.186	6.7942	7.7212	12.0884	3.5514
41	50267513	9.6666	0	5.2575	5.1343	6.7565	7.7058	11.8459	3.3989
42	50267502	9.6863	0	5.273	5.146	6.7655	7.7063	11.862	3.3823
43	50272619	9.7562	2.3979	5.4596	5.2876	7.2941	7.8479	13.6135	4.4934
44	50272620	9.7286	2.3979	5.4467	5.2762	7.2879	7.8939	13.5253	4.4052
45	50272627	9.7607	2.3979	5.4596	5.2876	7.2822	7.8602	13.6014	4.4813
46	50272610	9.8091	2.3979	5.5134	5.3027	7.3017	7.8925	13.6822	4.4091
47	50272685	9.7041	2.3979	5.4027	5.217	7.1315	7.7406	13.1908	4.251
48	50272735	9.7607	2.3979	5.4596	5.2568	7.2125	7.7924	13.417	4.2969
49	50272736	9.7413	2.3979	5.4293	5.2411	7.1757	7.7566	13.3103	4.2763
50	8961	8.8705	0	4.2047	4.4942	6.4033	6.6542	8.7827	2.4111
51	50199522	9.2839	0	4.5218	4.3307	5.7746	6.1137	8.0805	1.319
52	50272628	9.8022	2.3979	5.5013	5.3273	7.3502	7.9609	13.6194	4.4756
53	50272629	9.7758	2.3979	5.4889	5.3163	7.3444	8.0021	13.5313	4.3875
54	50272630	9.7772	2.3979	5.4972	5.3163	7.3406	8.0048	13.5271	4.3833
55	50272631	9.8065	2.3979	5.5013	5.3273	7.339	7.972	13.6073	4.4635
56	50272632	9.754	3.0445	5.3891	5.2826	7.2765	7.8373	13.5046	4.4794
57	50272633	9.768	2.3979	5.4806	5.2927	7.2858	7.8973	13.6896	4.4825
58	50272680	9.8295	2.3979	5.5872	5.3175	7.3721	8.0174	13.8649	4.5563
59	50272681	9.7485	2.3979	5.5215	5.2775	7.2933	7.9231	13.5954	4.5241
60	50272682	9.7538	2.3979	5.4848	5.2826	7.2854	7.8823	13.5984	4.5024
61	50272610	9.8091	2.3979	5.5134	5.3027	7.3017	7.8925	13.6822	4.4091
62	50272735	9.7607	2.3979	5.4596	5.2568	7.2125	7.7924	13.417	4.2969
63	50272736	9.7413	2.3979	5.4293	5.2411	7.1757	7.7566	13.3103	4.2763
64	8961	8.8705	0	4.2047	4.4942	6.4033	6.6542	8.7827	2.4111
65	50199522	9.2839	0	4.5218	4.3307	5.7746	6.1137	8.0805	1.319
66	50272619	9.7562	2.3979	5.4596	5.2876	7.2941	7.8479	13.6135	4.4934
67	50272618	9.73	2.3979	5.4553	5.2762	7.2839	7.8969	13.5211	4.401
68	50272627	9.7607	2.3979	5.4596	5.2876	7.2822	7.8602	13.6014	4.4813
69	50272628	9.8022	2.3979	5.5013	5.3273	7.3502	7.9609	13.6194	4.4756
70	50272630	9.7772	2.3979	5.4972	5.3163	7.3406	8.0048	13.5271	4.3833
71	50272631	9.8065	2.3979	5.5013	5.3273	7.339	7.972	13.6073	4.4635
72	50272633	9.768	2.3979	5.4806	5.2927	7.2858	7.8973	13.6896	4.4825
73	50272680	9.8295	2.3979	5.5872	5.3175	7.3721	8.0174	13.8649	4.5563
74	50272681	9.7485	2.3979	5.5215	5.2775	7.2933	7.9231	13.5954	4.5241
75	50272685	9.7041	2.3979	5.4027	5.217	7.1315	7.7406	13.1908	4.251
76	50151982	9.5692	3.0445	5.0562	5.1818	7.0908	7.399	12.6113	4.1399
77	50272620	9.7286	2.3979	5.4467	5.2762	7.2879	7.8939	13.5253	4.4052
78	50272629	9.7758	2.3979	5.4889	5.3163	7.3444	8.0021	13.5313	4.3875
79	50272632	9.754	3.0445	5.3891	5.2826	7.2765	7.8373	13.5046	4.4794
80	50272682	9.7538	2.3979	5.4848	5.2826	7.2854	7.8823	13.5984	4.5024
81	50272618	9.73	2.3979	5.4553	5.2762	7.2839	7.8969	13.5211	4.401
82	50451933	9.425	0	5.0106	4.8481	6.4674	7.4203	10.7129	2.5731
83	8960	9.3832	2.3979	4.9273	4.7185	6.0547	6.2448	9.8521	2.1175
84	50451936	9.3845	0	4.9836	4.8243	6.4549	7.4179	10.5852	2.5839
85	50451937	9.4042	0	5.0039	4.8323	6.4642	7.4224	10.6506	2.5838
86	50451938	9.3628	0	4.9767	4.8081	6.4517	7.42	10.5144	2.5944
87	50451948	9.3518	0	4.9767	4.7999	6.4501	7.4242	10.4771	2.5997
88	50025480	9.292	0	4.9127	4.7916	6.5339	7.5034	9.8556	2.7135
89	50049402	9.1673	0	4.7536	4.714	6.4101	7.3761	9.6732	2.7006
90	50451949	9.3936	0	5.0039	4.8243	6.4627	7.4266	10.618	2.5892
91	50451950	9.4147	0	5.0039	4.8402	6.4658	7.4209	10.6822	2.5784
92	85573	9.0387	0	4.5643	4.6299	6.2877	7.2302	9.4523	2.6747
93	50451961	9.3737	0	4.9767	4.8162	6.4533	7.4185	10.5505	2.5891
94	50284329	8.9561	2.3979	4.3438	4.49	6.101	6.8419	9.0878	2.2899
95	50284331	8.8919	2.3979	4.2485	4.4673	6.0114	6.7204	9.0233	2.2995
96	50284335	8.8671	2.3979	4.1744	4.4441	6.0563	6.7574	8.8808	2.3198
97	50284333	9.134	2.3979	4.5951	4.7438	6.2639	7.127	10.2957	3.0415
98	50284336	8.8778	2.3979	4.2047	4.4558	6.0296	6.7544	8.9545	2.3094
99	50199522	9.2839	0	4.5218	4.3307	5.7746	6.1137	8.0805	1.319
100	50284430	8.9358	2.3979	4.3041	4.4788	6.0875	6.8201	9.0233	2.2995
101	50284424	8.9421	2.3979	4.3175	4.5122	6.0616	6.8446	9.2053	2.4074
102	50284433	8.7938	2.3979	4.0943	4.4203	6.0077	6.6873	8.8013	2.3305
103	50284339	8.9099	2.3979	4.2341	4.4673	6.0772	6.7977	8.9545	2.3094
104	50284334	8.9785	2.3979	4.2905	4.5122	6.1177	6.8739	9.0876	2.3638
105	50284332	8.9358	2.3979	4.3041	4.5012	6.1077	6.8633	9.148	2.4241
106	50284431	8.9358	2.3979	4.3041	4.5012	6.1077	6.8633	9.148	2.4241
107	50284434	8.8133	2.3979	4.1431	4.4323	6.0077	6.7122	8.8808	2.3198
108	50284337	8.9169	2.3979	4.2767	4.4788	6.0404	6.7777	9.0233	2.2995
109	50284432	8.8321	2.3979	4.1744	4.4441	6.0003	6.6957	8.9545	2.3094
110	50284338	9.102	2.3979	4.585	4.5552	6.1341	6.9271	9.6068	2.3351
111	50199522	9.2839	0	4.5218	4.3307	5.7746	6.1137	8.0805	1.319
112	50169856	9.5034	2.3979	5.0304	4.8081	6.3189	7.0299	10.2832	2.4039
113	50248848	9.3771	3.0445	4.92	4.7406	6.2542	6.9469	10.0177	2.3897
114	50248747	9.3725	3.0445	4.8978	4.8162	6.5879	7.5962	10.619	2.991
115	50169866	9.4249	2.3979	4.9558	4.7664	6.2716	6.9965	10.1831	2.3519
116	50169855	9.4643	2.3979	4.9904	4.7916	6.308	7.0078	10.1853	2.3988
117	50248712	9.2907	2.3979	4.7707	4.7749	6.5575	7.535	10.2605	2.954
118	50169860	9.3376	2.3979	4.7875	4.723	6.2437	6.889	9.6238	2.3172
119	50169867	9.2717	2.3979	4.7449	4.6775	6.1886	6.8433	9.5656	2.3387
120	50248784	9.267	2.3979	4.7362	4.6775	6.2001	6.8469	9.5368	2.3099
121	50169850	9.3725	3.0445	4.8978	4.7406	6.2563	6.9523	9.9716	2.3436
122	50169868	9.3771	3.0445	4.92	4.7406	6.2542	6.9469	10.0177	2.3897
123	50248880	9.3832	2.3979	4.9273	4.7493	6.2602	6.9651	10.0829	2.3483
