No.	NAME	X1A	X2A	X3A	X5A	X2v	X4v	X0Av	X1Av	X3Av	X5Av	X3sol	RDCHI
1	50262810	0.4444	0.2853	0.1825	0.0778	5.5309	2.6871	0.5695	0.306	0.0882	0.0268	8.0295	3.4867
2	50262811	0.4501	0.2782	0.1821	0.0767	5.9881	3.1071	0.5827	0.3129	0.0892	0.0268	9.2888	3.6634
3	50193452	0.4486	0.2892	0.1852	0.0804	6.238	3.068	0.5809	0.3209	0.0945	0.0302	8.5211	3.7489
4	50262853	0.4472	0.288	0.1849	0.0778	7.3395	3.7277	0.6164	0.3516	0.1096	0.0351	9.0603	3.8199
5	50262850	0.455	0.2845	0.1833	0.0794	6.7413	3.4652	0.5735	0.3128	0.0905	0.029	9.9	4.0036
6	50262850	0.455	0.2845	0.1833	0.0794	6.7413	3.4652	0.5735	0.3128	0.0905	0.029	9.9	4.0036
7	50262813	0.4466	0.2874	0.1838	0.0792	5.8845	2.9151	0.5755	0.3137	0.091	0.0282	8.2711	3.6192
8	50262813	0.4466	0.2874	0.1838	0.0792	5.8845	2.9151	0.5755	0.3137	0.091	0.0282	8.2711	3.6192
9	50262786	0.4565	0.2856	0.1869	0.0806	7.4024	3.8246	0.5998	0.337	0.1003	0.0325	10.2804	4.1742
10	50262848	0.4535	0.2821	0.1845	0.0795	6.6952	3.471	0.5919	0.3258	0.0947	0.0303	9.7804	3.9239
11	50262846	0.4535	0.2828	0.1821	0.0785	6.3877	3.3123	0.5686	0.3063	0.0875	0.0275	9.65	3.8756
12	50262846	0.4535	0.2828	0.1821	0.0785	6.3877	3.3123	0.5686	0.3063	0.0875	0.0275	9.65	3.8756
13	50262809	0.4491	0.2898	0.1862	0.0784	7.6931	3.9044	0.6198	0.3569	0.1124	0.0363	9.3103	3.9464
14	50262808	0.4579	0.2878	0.1857	0.0805	7.4484	3.8187	0.5824	0.3245	0.0962	0.0312	10.4	4.2524
15	50262786	0.4565	0.2856	0.1869	0.0806	7.4024	3.8246	0.5998	0.337	0.1003	0.0325	10.2804	4.1742
16	50262853	0.4472	0.288	0.1849	0.0778	7.3395	3.7277	0.6164	0.3516	0.1096	0.0351	9.0603	3.8199
17	50362874	0.4448	0.2787	0.1835	0.074	8.3413	4.2963	0.6015	0.3157	0.0943	0.0273	12.4802	4.4382
18	50267493	0.4557	0.2884	0.1848	0.0771	10.6202	5.1359	0.5921	0.3115	0.0887	0.0255	15.5196	5.5332
19	50267492	0.4574	0.2865	0.1854	0.077	10.7512	5.3096	0.5946	0.3169	0.0906	0.0261	15.9433	5.588
20	50267494	0.4497	0.2852	0.1832	0.0742	9.0214	4.2576	0.5714	0.2922	0.0807	0.0222	14.2863	5.0284
21	50267495	0.4517	0.2833	0.1839	0.0743	9.1523	4.4449	0.5747	0.2986	0.0829	0.0229	14.7101	5.0833
22	50267496	0.4508	0.2864	0.184	0.075	9.3749	4.4482	0.5747	0.2969	0.0825	0.0231	14.5363	5.1439
23	50267497	0.4528	0.2845	0.1847	0.075	9.5059	4.6219	0.5778	0.3031	0.0846	0.0239	14.9601	5.199
24	50267498	0.4519	0.2875	0.1848	0.0754	9.7285	4.6059	0.5778	0.3014	0.0846	0.024	14.7863	5.2584
25	50267499	0.4538	0.2856	0.1855	0.0754	9.8594	4.7797	0.5808	0.3074	0.0866	0.0247	15.2101	5.3135
26	50267501	0.454	0.2896	0.1864	0.0762	10.4356	4.9595	0.5837	0.3099	0.0886	0.0255	15.2863	5.4849
27	50267500	0.4557	0.2877	0.187	0.0761	10.5666	5.1332	0.5864	0.3154	0.0905	0.0261	15.7101	5.5398
28	8960	0.4411	0.2779	0.1814	0.0745	8.0705	4.712	0.6006	0.33	0.1084	0.0368	10.5196	4.0663
29	50267503	0.4506	0.2866	0.1825	0.0754	8.8797	4.2047	0.5765	0.2958	0.0819	0.0225	13.684	4.9705
30	50267504	0.4527	0.2845	0.1832	0.0758	9.0107	4.3884	0.5798	0.3023	0.0841	0.0233	14.1078	5.0301
31	50267505	0.4517	0.284	0.1815	0.0752	9.206	4.434	0.5809	0.2944	0.081	0.0225	14.5196	5.0787
32	50267506	0.4536	0.2822	0.1822	0.0753	9.337	4.6213	0.5839	0.3006	0.0831	0.023	14.9433	5.1335
