No.	NAME	AAC	IDDE	IDMT	IVDE	Ges	rGes	S0K	Uindex	Xindex	Yindex	BertzCT	IC1	IC2	IC3	IC5	CIC1	CIC2	CIC4	BIC0	BIC2	BIC3	BIC4
1	50262810	1.469	3.7322	8751.6973	1.3946	15	0.6818	84.1075	34.6485	0.3499	0.6023	639.8757	2.9822	3.6996	4.3128	4.5031	2.3397	1.6223	0.8189	0.2603	0.6555	0.7642	0.7979
2	50262811	1.4844	4.1639	12711.7251	1.4396	20	0.8	106.0964	41.797	0.3477	0.6078	731.8108	3.1704	4.1286	4.7565	4.8842	2.3842	1.4259	0.6704	0.2545	0.7078	0.8155	0.8373
3	50193452	1.4247	3.7516	12469.2313	1.3471	17	0.7083	96.0391	39.6805	0.3134	0.5001	669.9209	3.02	3.8954	4.4722	4.7245	2.5036	1.6281	0.799	0.2453	0.6708	0.7701	0.8135
4	50262853	1.4202	3.7337	14617.6732	1.4396	17	0.68	100.0964	42.3404	0.3017	0.4678	576.4308	2.7482	3.8282	4.3936	4.6158	3.0067	1.9267	1.1391	0.2395	0.6455	0.7408	0.7783
5	50262850	1.4536	4.1645	19425.5578	1.3788	23	0.8214	124.6059	49.8801	0.3136	0.5144	844.0137	3.4581	4.4167	4.9167	5.109	2.2424	1.2837	0.5914	0.2423	0.7361	0.8194	0.8515
6	50262850	1.4536	4.1645	19425.5578	1.3788	23	0.8214	124.6059	49.8801	0.3136	0.5144	844.0137	3.4581	4.4167	4.9167	5.109	2.2424	1.2837	0.5914	0.2423	0.7361	0.8194	0.8515
7	50262813	1.4461	3.8279	10498.9427	1.3709	16	0.6957	90.0419	37.1329	0.3303	0.5455	654.8813	3.0283	3.8706	4.441	4.618	2.398	1.5557	0.8083	0.2525	0.6757	0.7753	0.8062
8	50262813	1.4461	3.8279	10498.9427	1.3709	16	0.6957	90.0419	37.1329	0.3303	0.5455	654.8813	3.0283	3.8706	4.441	4.618	2.398	1.5557	0.8083	0.2525	0.6757	0.7753	0.8062
9	50262786	1.4081	4.3063	23446.9757	1.3584	24	0.8276	130.8814	53.0191	0.286	0.4394	793.0638	3.0884	4.2721	4.9418	5.213	2.7943	1.6105	0.7375	0.2305	0.6994	0.809	0.8423
10	50262848	1.4435	4.2364	17531.591	1.3992	22	0.8148	118.382	47.2854	0.3126	0.507	762.3755	3.1654	4.2747	4.8692	5.0579	2.5625	1.4532	0.67	0.2415	0.7152	0.8146	0.8462
11	50262846	1.4725	4.3104	16693.9426	1.3992	22	0.8148	118.382	47.0307	0.3296	0.5596	828.479	3.4901	4.4156	4.9054	5.0279	2.1246	1.1991	0.5868	0.2483	0.7445	0.8271	0.8478
12	50262846	1.4725	4.3104	16693.9426	1.3992	22	0.8148	118.382	47.0307	0.3296	0.5596	828.479	3.4901	4.4156	4.9054	5.0279	2.1246	1.1991	0.5868	0.2483	0.7445	0.8271	0.8478
13	50262809	1.4018	3.8543	17073.6352	1.4196	18	0.6923	106.2114	45.012	0.2885	0.4364	591.1674	2.712	3.8236	4.4029	4.7187	3.1209	2.0093	1.1844	0.2336	0.6373	0.7338	0.7748
14	50262808	1.4191	4.3069	25760.9318	1.3383	24	0.8	135.2067	55.7639	0.2873	0.4461	875.1685	3.363	4.3967	4.9829	5.2588	2.495	1.4613	0.6682	0.2315	0.7173	0.813	0.8467
15	50262786	1.4081	4.3063	23446.9757	1.3584	24	0.8276	130.8814	53.0191	0.286	0.4394	793.0638	3.0884	4.2721	4.9418	5.213	2.7943	1.6105	0.7375	0.2305	0.6994	0.809	0.8423
16	50262853	1.4202	3.7337	14617.6732	1.4396	17	0.68	100.0964	42.3404	0.3017	0.4678	576.4308	2.7482	3.8282	4.3936	4.6158	3.0067	1.9267	1.1391	0.2395	0.6455	0.7408	0.7783
17	50362874	1.4713	4.7414	33616.9832	1.4338	31	0.9394	162.465	54.8804	0.2474	0.3873	1017.2825	3.1978	4.5185	5.0836	5.3298	2.8245	1.5038	0.7849	0.2355	0.7232	0.8136	0.8383
18	50267493	1.4774	5.3141	100930.0946	1.4062	43	0.9556	243.1334	89.5765	0.2021	0.2896	1449.5076	3.4033	4.8216	5.3564	5.8938	3.0396	1.6214	0.871	0.2214	0.7226	0.8028	0.8351
19	50267492	1.4659	5.1864	107226.8778	1.3938	44	0.9565	250.0838	92.7239	0.2022	0.2905	1466.3269	3.3798	4.8411	5.4193	5.9388	3.1121	1.6508	0.8642	0.2183	0.721	0.8071	0.8382
20	50267494	1.5421	4.9531	65106.0248	1.467	38	0.95	208.8771	74.124	0.2233	0.3349	1365.662	3.6359	4.8911	5.3533	5.6835	2.5341	1.2789	0.6845	0.2393	0.7591	0.8309	0.8514
21	50267495	1.5281	5.144	69578.1657	1.4552	39	0.9512	215.6596	76.9969	0.224	0.3373	1382.3987	3.6038	4.901	5.4182	5.7352	2.625	1.3278	0.6838	0.2354	0.7549	0.8346	0.8542
22	50267496	1.5281	5.144	71863.6785	1.4552	39	0.9512	215.6596	77.1272	0.2171	0.3211	1382.3987	3.6405	4.9744	5.4182	5.7352	2.5883	1.2544	0.6838	0.2354	0.7663	0.8346	0.8542
23	50267497	1.5147	5.1542	76700.8464	1.4432	40	0.9524	222.4773	80.0564	0.2176	0.3231	1399.1513	3.6084	4.983	5.4804	5.7852	2.677	1.3024	0.6831	0.2316	0.762	0.8381	0.8567
24	50267498	1.5147	5.1066	79086.4543	1.4432	40	0.9524	222.4773	80.1803	0.2113	0.3086	1399.1513	3.6181	4.9767	5.4291	5.7852	2.6673	1.3087	0.6831	0.2316	0.7611	0.8302	0.8567
25	50267499	1.5017	5.2402	84302.6682	1.4309	41	0.9535	229.3294	83.1656	0.2117	0.3102	1415.9201	3.587	4.9869	5.4905	5.8334	2.7528	1.3529	0.6825	0.2281	0.7573	0.8338	0.8591
26	50267501	1.4893	5.1241	94988.6067	1.4186	42	0.9545	236.215	86.4339	0.2009	0.2868	1432.7054	3.5516	4.9628	5.4781	5.8802	2.8407	1.4295	0.7296	0.2247	0.7486	0.8263	0.8542
27	50267500	1.4774	5.3141	101005.392	1.4062	43	0.9556	243.1334	89.5302	0.2011	0.288	1449.5076	3.5237	4.9764	5.5373	5.9255	2.9193	1.4665	0.7274	0.2214	0.7458	0.8299	0.8566
28	8960	1.3474	4.4502	19311.7345	1.3329	24	0.8571	126.6059	42.7387	0.2734	0.45	800.7883	3.1633	4.4395	4.8458	4.9643	2.6696	1.3934	0.9037	0.2221	0.7318	0.7988	0.8126
29	50267503	1.5179	5.0803	59468.0598	1.4196	34	0.8718	195.3758	71.2089	0.2287	0.3464	1300.4473	3.5008	4.7586	5.2372	5.5438	2.649	1.3911	0.8068	0.2362	0.7405	0.815	0.8314
30	50267504	1.504	4.7342	63931.2051	1.406	36	0.9	204.8771	74.0444	0.2282	0.3463	1317.0647	3.473	4.7733	5.3068	5.6011	2.7365	1.4362	0.8011	0.2322	0.7371	0.8195	0.8352
31	50267505	1.5281	5.2112	69660.1759	1.4552	39	0.9512	215.6596	77.0458	0.2245	0.338	1382.3987	3.47	4.7214	5.2084	5.6985	2.7588	1.5074	0.8503	0.2354	0.7273	0.8023	0.8285
32	50267506	1.5147	4.9458	74360.1473	1.4432	40	0.9524	222.4773	79.9711	0.225	0.34	1399.1513	3.4428	4.7397	5.2786	5.7498	2.8426	1.5457	0.8433	0.2316	0.7248	0.8072	0.8322
33	50267511	1.504	4.7342	65751.8829	1.406	36	0.9	204.8771	74.1604	0.2223	0.3321	1317.0647	3.5102	4.8477	5.3068	5.6011	2.6993	1.3617	0.8011	0.2322	0.7486	0.8195	0.8352
34	50267512	1.4906	5.1624	70586.6366	1.3924	37	0.9024	211.6596	77.0517	0.2217	0.3318	1333.6996	3.482	4.8606	5.3734	5.6561	2.7848	1.4062	0.7959	0.2285	0.7451	0.8237	0.8386
35	50267514	1.5147	5.0886	76744.1833	1.4432	39	0.9286	220.4773	80.1046	0.2183	0.3241	1399.1513	3.4782	4.8103	5.2786	5.7498	2.8072	1.4751	0.8433	0.2316	0.7356	0.8072	0.8322
36	50267550	1.5017	5.2227	81822.0639	1.4309	41	0.9535	229.3294	83.086	0.2187	0.3257	1415.9201	3.4509	4.8267	5.3457	5.7994	2.8889	1.5132	0.8367	0.2281	0.733	0.8118	0.8357
37	50267551	1.4906	5.1136	72485.214	1.3924	37	0.9024	211.6596	77.1624	0.2164	0.3191	1333.6996	3.4918	4.8542	5.3214	5.6561	2.775	1.4126	0.7959	0.2285	0.7441	0.8157	0.8386
38	50267552	1.4777	4.9934	77705.8007	1.3788	38	0.9048	218.4773	80.1092	0.2157	0.3186	1350.3524	3.4644	4.8685	5.387	5.7092	2.8575	1.4535	0.7911	0.2249	0.741	0.82	0.8419
