No.	NAME	SpMax2_Bh(m)	SpMax3_Bh(m)	SpMax4_Bh(m)	SpMax5_Bh(m)	SpMax6_Bh(m)	SpMax1_Bh(v)	SpMax2_Bh(v)	SpMax6_Bh(v)	SpMax7_Bh(v)	SpMax3_Bh(e)	SpMax4_Bh(e)	SpMax5_Bh(e)	SpMax1_Bh(p)	SpMax2_Bh(p)	SpMax1_Bh(i)	SpMax2_Bh(i)	SpMax2_Bh(s)	SpMax3_Bh(s)	SpMax4_Bh(s)	SpMax5_Bh(s)	SpMax6_Bh(s)	SpMax7_Bh(s)	SpMax8_Bh(s)	SpMin1_Bh(m)	SpMin2_Bh(m)	SpMin3_Bh(m)	SpMin4_Bh(m)	SpMin8_Bh(m)	SpMin1_Bh(v)	SpMin2_Bh(v)	SpMin5_Bh(v)	SpMin7_Bh(v)	SpMin1_Bh(e)	SpMin2_Bh(e)	SpMin3_Bh(p)	SpMin4_Bh(p)	SpMin6_Bh(p)	SpMin3_Bh(i)	SpMin8_Bh(i)	SpMin1_Bh(s)	SpMin2_Bh(s)	SpMin3_Bh(s)	SpMin4_Bh(s)	SpMin5_Bh(s)	SpMin6_Bh(s)	SpMin7_Bh(s)	SpMin8_Bh(s)
1	50262810	3.8406	3.5074	3.3069	2.9727	2.8917	3.9394	3.8436	2.8583	2.735	3.6296	3.4024	3.0658	3.9308	3.8503	4.0481	3.9497	7.4084	4.7583	4.6856	4.2504	3.8558	3.6742	3.6334	2.0491	1.9859	1.85	1.5885	1.1334	2.0305	1.9677	1.2852	1.1677	1.9154	1.8865	1.8579	1.6249	1.2209	1.5632	0.8206	1.2182	1.0847	1.0626	0.7328	0.5008	0.3147	0.2176	0.2107
2	50262811	3.8695	3.5378	3.3472	3.0631	2.9822	3.9407	3.8527	2.9774	2.8898	3.6633	3.453	3.2488	3.9319	3.8529	4.051	3.9568	7.4084	4.8616	4.6871	4.3923	4.2525	3.9071	3.7405	2.0341	1.9859	1.8855	1.7132	1.1334	2.0312	1.9677	1.5333	1.265	1.9116	1.8865	1.8757	1.6963	1.4204	1.5906	0.9814	1.2488	1.0847	1.0728	0.9226	0.6259	0.5734	0.327	0.2107
3	50193452	3.8449	3.5601	3.3871	3.1484	2.9727	3.9397	3.8467	2.8583	2.8105	3.7006	3.4943	3.2933	3.9314	3.8533	4.0476	3.9586	7.4084	4.7582	4.6861	4.2668	4.0126	3.6837	3.6742	2.054	1.9859	1.9533	1.7173	1.1805	2.035	1.9677	1.4921	1.2042	1.9164	1.8865	1.9059	1.731	1.2222	1.6572	0.8398	1.3163	1.1551	1.0847	0.8985	0.6652	0.5003	0.3163	0.2176
4	50262853	3.7672	3.5385	3.3908	3.2561	2.9727	3.9384	3.7066	2.9637	2.9103	3.6891	3.5303	3.3997	3.9296	3.7018	4.0493	3.9569	7.4084	4.6888	4.4257	4.1721	4.0471	3.7923	3.6218	2.0488	1.9859	1.9629	1.817	1.3346	2.0542	1.9677	1.6274	1.3684	1.8865	1.8347	1.9087	1.7619	1.3759	1.6518	0.9935	1.3862	1.286	1.0847	1.0536	0.9189	0.8246	0.5246	0.4691
5	50262850	3.875	3.5928	3.4392	3.2491	3.0645	3.9408	3.8566	3.0278	2.9714	3.7164	3.5438	3.3564	3.9323	3.8565	4.0494	3.9654	7.4084	5.4299	4.8601	4.6871	4.3898	4.1923	3.9631	2.0368	1.9859	1.9492	1.7372	1.2338	2.0317	1.9677	1.5329	1.3643	1.9125	1.8865	1.9097	1.7511	1.5127	1.6666	0.9935	1.3212	1.1606	1.0847	0.919	0.6842	0.574	0.5295	0.3172
6	50262850	3.875	3.5928	3.4392	3.2491	3.0645	3.9408	3.8566	3.0278	2.9714	3.7164	3.5438	3.3564	3.9323	3.8565	4.0494	3.9654	7.4084	5.4299	4.8601	4.6871	4.3898	4.1923	3.9631	2.0368	1.9859	1.9492	1.7372	1.2338	2.0317	1.9677	1.5329	1.3643	1.9125	1.8865	1.9097	1.7511	1.5127	1.6666	0.9935	1.3212	1.1606	1.0847	0.919	0.6842	0.574	0.5295	0.3172
7	50262813	3.8433	3.5359	3.3524	3.0405	2.9727	3.9396	3.8456	2.8583	2.7729	3.6689	3.4511	3.2048	3.9311	3.8521	4.0477	3.955	7.4084	4.7582	4.6859	4.2604	3.9459	3.6742	3.643	2.0516	1.9859	1.9097	1.664	1.148	2.033	1.9677	1.3988	1.1677	1.916	1.8865	1.8846	1.6855	1.2216	1.6167	0.8206	1.2679	1.1279	1.0847	0.8119	0.5198	0.4899	0.2475	0.2176
8	50262813	3.8433	3.5359	3.3524	3.0405	2.9727	3.9396	3.8456	2.8583	2.7729	3.6689	3.4511	3.2048	3.9311	3.8521	4.0477	3.955	7.4084	4.7582	4.6859	4.2604	3.9459	3.6742	3.643	2.0516	1.9859	1.9097	1.664	1.148	2.033	1.9677	1.3988	1.1677	1.916	1.8865	1.8846	1.6855	1.2216	1.6167	0.8206	1.2679	1.1279	1.0847	0.8119	0.5198	0.4899	0.2475	0.2176
9	50262786	3.8757	3.609	3.4673	3.3124	3.0632	3.9409	3.8575	3.0624	2.9861	3.7537	3.6032	3.4401	3.9326	3.8575	4.05	3.9712	7.4084	4.8618	4.6874	4.3929	4.2738	4.1077	3.8687	2.0509	1.9966	1.9859	1.8585	1.3756	2.0391	1.9677	1.6869	1.4818	1.9132	1.8865	1.9387	1.8259	1.5135	1.7117	1.0464	1.3824	1.215	1.0847	1.074	0.9587	0.6985	0.5861	0.5727
10	50262848	3.874	3.5797	3.4161	3.1989	3.0631	3.9407	3.8561	2.9884	2.9449	3.7162	3.5393	3.3464	3.9322	3.8561	4.0498	3.9665	7.4084	4.8617	4.6873	4.3927	4.2667	4.0337	3.7783	2.042	1.9859	1.9525	1.8171	1.2348	2.0363	1.9677	1.5667	1.3911	1.9128	1.8865	1.9124	1.7777	1.5132	1.6651	0.9935	1.3278	1.1682	1.0847	1.002	0.7865	0.6093	0.5733	0.3269
11	50262846	3.8733	3.5777	3.4102	3.1839	3.0635	3.9408	3.8553	2.9969	2.9569	3.6925	3.5047	3.2957	3.9321	3.8553	4.0497	3.9616	7.4084	5.4299	4.8601	4.687	4.3898	4.1769	3.8989	2.0331	1.9859	1.9072	1.6949	1.1569	2.0295	1.9677	1.5328	1.3352	1.9121	1.8865	1.8901	1.712	1.4578	1.6342	0.9935	1.2766	1.1302	1.0847	0.8458	0.574	0.5295	0.5155	0.2477
